Displacement,Force
4.0055,0.4339
4.2059,0.4588
4.4063,0.4823
4.6067,0.5052
4.8068,0.5296
5.0071,0.5597
5.2074,0.5866
5.4074,0.6071
5.6078,0.6394
5.8081,0.6652
6.0085,0.6885
6.2085,0.7199
6.4089,0.7531
6.609,0.7969
6.8094,0.8357
7.0098,0.8788
7.2098,0.9305
7.4102,0.9656
7.6102,1.0029
7.8106,1.0397
8.0111,1.0707
8.2115,1.1193
8.4116,1.1621
8.6118,1.2037
8.8123,1.2443
9.0127,1.2985
9.2131,1.3454
9.4135,1.4013
9.6138,1.4583
9.8141,1.5163
10.0141,1.5251
10.2141,1.595
10.4143,1.6551
10.6145,1.7182
10.8148,1.7747
11.015,1.8423
11.2154,1.9016
11.4159,1.965
11.6162,2.0268
11.8165,2.0943
12.0166,2.1569
12.2166,2.221
12.417,2.2931
12.6175,2.3649
12.8177,2.4333
13.0183,2.5066
13.2184,2.5812
13.4185,2.6576
13.6189,2.7181
13.819,2.7936
14.0192,2.8685
14.2196,2.9352
14.4199,3.014
14.6203,3.0996
14.8206,3.1716
15.0003,3.2574
