Displacement,Force
4.405,0.1335
4.6052,0.1441
4.8053,0.1504
5.0054,0.1597
5.2059,0.1664
5.4063,0.1755
5.6066,0.182
5.8067,0.1941
6.0069,0.1984
6.2073,0.2108
6.4074,0.2204
6.6078,0.2299
6.8079,0.2424
7.0082,0.2521
7.2086,0.2639
7.409,0.2718
7.6092,0.2803
7.8096,0.2911
8.0102,0.2961
8.2104,0.3119
8.4106,0.3275
8.611,0.342
8.8114,0.3574
9.0116,0.3616
9.212,0.3696
9.4121,0.3879
9.6124,0.4078
9.8128,0.4226
10.013,0.4345
10.2133,0.4472
10.4139,0.4643
10.6142,0.4805
10.8142,0.4958
11.0146,0.5083
11.2148,0.5238
11.4153,0.5483
11.6157,0.5639
11.8159,0.5737
12.0161,0.5921
12.2165,0.6097
12.4166,0.6289
12.6167,0.6445
12.8168,0.6662
13.0171,0.6818
13.2174,0.7016
13.4177,0.7115
13.6181,0.7273
13.8181,0.7533
14.0186,0.7783
14.219,0.7961
14.4191,0.8152
14.6192,0.8329
14.8195,0.8568
15.0003,0.8736
