date and time,p,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg
22-Feb-2024 17:33:14,1,-0.0230406961093346,0.00585632442186276,0.253643705447515,0.00920770472536484,0.00538074020296335,-0.0768248543143272,0.99698699315389
22-Feb-2024 17:33:18,2,-0.0210677164296309,0.00583166054760416,0.253887504339218,0.010975970638295,0.00541997949282328,-0.0767662768562635,0.996973951657613
22-Feb-2024 17:33:22,3,-0.0206380043178797,0.00899289802958568,0.255175868670146,0.0116811364268263,0.00567413239429394,-0.076782014966011,0.996963290373484
22-Feb-2024 17:33:26,4,-0.0221639034648736,0.0122024362906814,0.25663138628006,0.0143876775478323,0.0100030488024155,-0.0767721225817998,0.996894522507985
22-Feb-2024 17:33:30,5,-0.0230014964938164,0.013307219867905,0.258182307084401,0.0159581068282326,0.0105784421786666,-0.0773663565516472,0.996818780899048
22-Feb-2024 17:33:35,6,-0.0225485015660524,0.0161879825095336,0.259487859408061,0.0194553097089132,0.0107820435116688,-0.0775333295265834,0.996741549173991
22-Feb-2024 17:33:39,7,-0.0230239742745956,0.0185396462678909,0.260837095975876,0.0223844605187575,0.0116345493743817,-0.0775465399026871,0.996669495105743
22-Feb-2024 17:33:43,8,-0.0227679638812939,0.021257242312034,0.261999046802521,0.0219406630843878,0.0118211802716057,-0.0774665753046671,0.996683398882548
22-Feb-2024 17:33:47,9,-0.0229311044017474,0.0237149172772964,0.263188976049423,0.0199450905124346,0.0116732728977998,-0.0774102772275607,0.996731464068095
22-Feb-2024 17:33:51,10,-0.0231816618392865,0.0273206986486912,0.264427242676417,0.0208668664097786,0.0112114993855357,-0.0773089369138082,0.996725769837697
22-Feb-2024 17:33:55,11,-0.0230821162462235,0.0314926721155643,0.265742607911428,0.022256264090538,0.013017118598024,-0.0771477520465851,0.996686232089996
22-Feb-2024 17:33:59,12,-0.0241343862066666,0.035634175191323,0.267302574714025,0.0229925466080507,0.0122288305312395,-0.0770553107062976,0.996686625480652
22-Feb-2024 17:34:03,13,-0.0252999138087034,0.0391694369415442,0.268688225746155,0.0252225998789072,0.0134751095126073,-0.0765665938456853,0.996654303868612
22-Feb-2024 17:34:07,14,-0.025004685173432,0.0424385696649551,0.270179307460785,0.0275062773376703,0.0140869914243619,-0.0763064250349998,0.996605296929677
22-Feb-2024 17:34:11,15,-0.0237020555883646,0.0448338645199935,0.271514884630839,0.0278476893901825,0.0105754495908817,-0.076585054397583,0.996617984771728
22-Feb-2024 17:34:16,16,-0.0241075288504362,0.046064018458128,0.272689912716548,0.0264117763688167,0.0104254627600312,-0.076750144859155,0.996645951271057
22-Feb-2024 17:34:20,17,-0.0253138364603122,0.048724847783645,0.27396261493365,0.027565094952782,0.0124999313304822,-0.076716348528862,0.99659347931544
22-Feb-2024 17:34:24,18,-0.0250328786671162,0.0513199468453725,0.275271689891815,0.0296950694173574,0.0124312600120902,-0.0767394378781319,0.996531331539154
22-Feb-2024 17:34:28,19,-0.0233373099317153,0.0548660807311535,0.276687220732371,0.0304988365620375,0.00826739960660537,-0.0774233445525169,0.996497440338135
22-Feb-2024 17:34:32,20,-0.0224665272980928,0.0577095021804174,0.277987845738729,0.0318144805729389,0.00679937917739153,-0.0773975282907486,0.996469402313232
22-Feb-2024 17:34:36,21,-0.022672334437569,0.0607940405607224,0.279454706112544,0.0327613554894924,0.00704965327555935,-0.0773899887998899,0.996437533696492
22-Feb-2024 17:34:40,22,-0.0228133659809828,0.0625614270567894,0.280838837226232,0.0338537164032459,0.00836326188097397,-0.0774220034480095,0.996388419469198
22-Feb-2024 17:34:44,23,-0.0227161267151435,0.0657050013542175,0.282153556744258,0.0364936585227648,0.00755689761911829,-0.0773385763168335,0.996308128039042
22-Feb-2024 17:34:48,24,-0.0225840418289105,0.0680857454737027,0.283502898613612,0.0370054602622986,0.00857035635660092,-0.077306226392587,0.996283559004466
22-Feb-2024 17:34:52,25,-0.0226209578414758,0.072590238849322,0.284919915596644,0.0405948981642723,0.00997662246227264,-0.0770980055133502,0.99614679813385
22-Feb-2024 17:34:56,26,-0.0237144687523444,0.0728009829918543,0.285953634977341,0.0399686512847741,0.00984486844390631,-0.076868167022864,0.996191167831421
22-Feb-2024 17:35:00,27,-0.0214842924227317,0.0760615145166715,0.287550685803096,0.0422556062539419,0.00862832764784495,-0.0765301212668419,0.996134134133657
22-Feb-2024 17:35:04,28,-0.0231851566582918,0.0795998444159826,0.288933916886648,0.0444236968954404,0.00925216693431139,-0.0766592939694723,0.996024254957835
22-Feb-2024 17:35:09,29,-0.0229554869234562,0.0820010910431544,0.290076631307602,0.0456553190946579,0.00741734396045407,-0.0770645325382551,0.995952657858531
22-Feb-2024 17:35:13,30,-0.024835405126214,0.0831594755252202,0.291137488683065,0.0468903218706449,0.00982782611002525,-0.0763741681973139,0.995927560329437
22-Feb-2024 17:35:17,31,-0.0218515865504742,0.0825880259275436,0.291956438620885,0.0461249805986881,0.0083401629080375,-0.0768028577168783,0.995943895975749
22-Feb-2024 17:35:21,32,-0.0236062883088986,0.0790826474626859,0.292016412814458,0.0416061808665593,0.00822322126477957,-0.0768228059013685,0.996142355600993
22-Feb-2024 17:35:25,33,-0.0235493039091428,0.0773121938109398,0.292196975151698,0.0383035975197951,0.00722746634855866,-0.0768503944079081,0.996280411879222
22-Feb-2024 17:35:29,34,-0.0238212139656146,0.0746801530321439,0.292220910390218,0.0354317203164101,0.00555736826111873,-0.0771511241793632,0.996374154090881
