1.751000165939331055e+00,5.540000000000000000e+02,5.920000000000000000e+02
1.759000062942504883e+00,6.280000000000000000e+02,6.640000000000000000e+02
1.768000125885009766e+00,6.990000000000000000e+02,7.370000000000000000e+02
1.780000209808349609e+00,7.700000000000000000e+02,8.070000000000000000e+02
1.784000158309936523e+00,8.410000000000000000e+02,8.770000000000000000e+02
1.792000055313110352e+00,9.090000000000000000e+02,9.470000000000000000e+02
1.801000118255615234e+00,9.800000000000000000e+02,1.018000000000000000e+03
1.813000202178955078e+00,1.060000000000000000e+03,1.108000000000000000e+03
1.821000099182128906e+00,1.149000000000000000e+03,1.197000000000000000e+03
1.833000183105468750e+00,1.239000000000000000e+03,1.289000000000000000e+03
1.842000007629394531e+00,1.333000000000000000e+03,1.384000000000000000e+03
1.861999988555908203e+00,1.428000000000000000e+03,1.480000000000000000e+03
1.863000154495239258e+00,1.524000000000000000e+03,1.575000000000000000e+03
1.875000000000000000e+00,1.618000000000000000e+03,1.669000000000000000e+03
1.883000135421752930e+00,1.713000000000000000e+03,1.766000000000000000e+03
1.895000219345092773e+00,1.809000000000000000e+03,1.860000000000000000e+03
1.903000116348266602e+00,1.901000000000000000e+03,1.954000000000000000e+03
1.916000127792358398e+00,1.997000000000000000e+03,2.051000000000000000e+03
1.932000160217285156e+00,2.092000000000000000e+03,2.145000000000000000e+03
1.936000108718872070e+00,2.187000000000000000e+03,2.240000000000000000e+03
1.950000047683715820e+00,2.283000000000000000e+03,2.336000000000000000e+03
1.956000089645385742e+00,2.376000000000000000e+03,2.431000000000000000e+03
1.968000173568725586e+00,2.472000000000000000e+03,2.526000000000000000e+03
1.976999998092651367e+00,2.565000000000000000e+03,2.618000000000000000e+03
1.989000082015991211e+00,2.657000000000000000e+03,2.707000000000000000e+03
1.997000217437744141e+00,2.745000000000000000e+03,2.798000000000000000e+03
2.009999990463256836e+00,2.835000000000000000e+03,2.887000000000000000e+03
2.018000125885009766e+00,2.923000000000000000e+03,2.976000000000000000e+03
2.030000209808349609e+00,3.012000000000000000e+03,3.066000000000000000e+03
2.039000034332275391e+00,3.101000000000000000e+03,3.156000000000000000e+03
2.051000118255615234e+00,3.192000000000000000e+03,3.244000000000000000e+03
2.063000202178955078e+00,3.278000000000000000e+03,3.330000000000000000e+03
2.071000099182128906e+00,3.365000000000000000e+03,3.418000000000000000e+03
2.083000183105468750e+00,3.452000000000000000e+03,3.504000000000000000e+03
2.092000007629394531e+00,3.540000000000000000e+03,3.594000000000000000e+03
2.104000091552734375e+00,3.627000000000000000e+03,3.680000000000000000e+03
2.111999988555908203e+00,3.714000000000000000e+03,3.768000000000000000e+03
2.124000072479248047e+00,3.802000000000000000e+03,3.855000000000000000e+03
2.133000135421752930e+00,3.891000000000000000e+03,3.947000000000000000e+03
2.145000219345092773e+00,3.983000000000000000e+03,4.040000000000000000e+03
2.153000116348266602e+00,4.077000000000000000e+03,4.133000000000000000e+03
2.165000200271606445e+00,4.168000000000000000e+03,4.227000000000000000e+03
2.174000024795532227e+00,4.265000000000000000e+03,4.325000000000000000e+03
2.186000108718872070e+00,4.361000000000000000e+03,4.422000000000000000e+03
2.198000192642211914e+00,4.459000000000000000e+03,4.519000000000000000e+03
2.206000089645385742e+00,4.554000000000000000e+03,4.613000000000000000e+03
