Rotation,Torque
-52.3437,-0.0365
-52.4441,-0.0371
-52.5445,-0.0376
-52.6454,-0.0381
-52.7458,-0.0387
-52.8461,-0.0393
-52.9471,-0.0399
-53.0474,-0.0405
-53.1477,-0.041
-53.2479,-0.0415
-53.348,-0.0421
-53.4486,-0.0426
-53.5492,-0.0431
-53.6492,-0.0437
-53.7499,-0.0442
-53.8505,-0.0448
-53.9512,-0.0455
-54.0522,-0.046
-54.1525,-0.0466
-54.2525,-0.0471
-54.3531,-0.0477
-54.4541,-0.0483
-54.5544,-0.049
-54.6547,-0.0496
-54.755,-0.0501
-54.8559,-0.0506
-54.9566,-0.0511
-55.0573,-0.0515
-55.1578,-0.0522
-55.2582,-0.0526
-55.3588,-0.0533
-55.4591,-0.0538
-55.5601,-0.0541
-55.6602,-0.0547
-55.7609,-0.0553
-55.8616,-0.0558
-55.9624,-0.056
-56.0625,-0.0567
-56.1629,-0.0573
-56.2633,-0.0578
-56.3638,-0.0585
-56.4644,-0.059
-56.565,-0.0597
-56.6657,-0.0603
-56.7666,-0.0608
-56.8673,-0.0613
-56.9673,-0.0618
-57.0673,-0.0624
-57.1676,-0.0629
-57.2677,-0.0634
-57.3678,-0.064
-57.468,-0.0645
-57.5686,-0.065
-57.6687,-0.0656
-57.7688,-0.0661
-57.8693,-0.0666
-57.9698,-0.0672
-58.0705,-0.0677
-58.1716,-0.0683
-58.2723,-0.0687
-58.3723,-0.069
-58.4729,-0.0697
-58.5732,-0.0702
-58.674,-0.0708
-58.7743,-0.0713
-58.8744,-0.072
-58.9754,-0.0724
-59.0756,-0.0729
-59.1758,-0.0735
-59.2759,-0.0741
-59.3764,-0.0747
-59.4769,-0.0748
-59.5769,-0.0755
-59.6774,-0.0761
-59.778,-0.0766
-59.8783,-0.077
-59.979,-0.0776
-60.0799,-0.0781
-60.1806,-0.0787
-60.2807,-0.0793
-60.3809,-0.0799
-60.4813,-0.0804
-60.5819,-0.081
-60.6823,-0.0815
-60.7831,-0.0818
-60.8832,-0.0824
-60.9841,-0.0829
-61.0844,-0.0834
-61.1846,-0.0839
-61.2854,-0.0843
-61.3855,-0.0847
-61.4856,-0.0853
-61.5866,-0.0858
-61.6875,-0.0862
-61.7879,-0.0867
-61.8881,-0.0873
-61.9892,-0.0878
-62.0898,-0.0883
-62.1905,-0.0889
-62.2916,-0.0894
-62.3921,-0.0899
-62.4924,-0.0904
-62.5924,-0.091
-62.6935,-0.0915
-62.7945,-0.0919
-62.8946,-0.0924
-62.9952,-0.093
-63.0963,-0.0934
-63.1973,-0.0939
-63.2976,-0.0944
-63.3986,-0.0949
-63.4987,-0.0954
-63.5997,-0.0959
-63.6998,-0.0962
-63.8004,-0.0968
-63.9012,-0.0974
-64.0018,-0.0978
-64.1024,-0.0984
-64.2033,-0.0986
-64.304,-0.0991
-64.4045,-0.0997
-64.5051,-0.1002
-64.6058,-0.1007
-64.7066,-0.1013
-64.8074,-0.1018
-64.9077,-0.1025
-65.0078,-0.1025
-65.0088,-0.1023
-45.2016,0.0032
-45.3024,0.0032
-45.4032,0.0032
-45.5039,0.0032
-45.6046,0.0032
-45.7055,0.0023
-45.8058,0.0009
-45.9058,-0.0001
-46.0058,-0.0009
-46.1061,-0.0016
-46.2069,-0.0021
-46.307,-0.0027
-46.4071,-0.0032
-46.5075,-0.0038
-46.6085,-0.0043
-46.7091,-0.0049
-46.8095,-0.0056
-46.9101,-0.0062
-47.0105,-0.0067
-47.1105,-0.0073
-47.2106,-0.0079
-47.3115,-0.0085
-47.4121,-0.0091
-47.513,-0.0096
-47.6131,-0.0101
-47.7133,-0.0106
-47.8133,-0.0111
-47.9137,-0.0117
-48.0146,-0.0122
-48.1154,-0.0127
-48.2157,-0.0133
-48.3158,-0.0138
-48.4167,-0.0144
-48.5178,-0.015
-48.6184,-0.0156
-48.7192,-0.0162
-48.8201,-0.0168
-48.921,-0.0174
-49.0219,-0.0179
-49.1223,-0.0185
-49.2224,-0.0191
-49.3228,-0.0196
-49.4233,-0.0202
-49.524,-0.0209
-49.6244,-0.0215
-49.7248,-0.022
-49.8251,-0.0226
-49.9256,-0.0232
-50.0263,-0.0237
-50.1271,-0.0243
-50.2279,-0.0248
-50.3288,-0.0253
-50.429,-0.0259
-50.5292,-0.0264
-50.6295,-0.027
-50.7299,-0.0275
-50.8303,-0.0281
-50.9311,-0.0287
-51.0318,-0.0292
-51.132,-0.0298
-51.2323,-0.0303
-51.3329,-0.0308
-51.434,-0.0314
-51.5341,-0.032
-51.6347,-0.0326
-51.7347,-0.0332
-51.8349,-0.0337
-51.9357,-0.0342
-52.0362,-0.0348
-52.137,-0.0353
-52.2372,-0.0359
-52.3378,-0.0364
-52.4381,-0.0369
-52.5386,-0.0374
-52.6387,-0.038
-52.739,-0.0386
-52.8396,-0.0391
-52.9403,-0.0397
-53.0411,-0.0402
-53.1415,-0.0408
-53.242,-0.0413
-53.3423,-0.0419
-53.4425,-0.0424
-53.5432,-0.0429
-53.6441,-0.0435
-53.7442,-0.044
-53.8447,-0.0445
-53.945,-0.0451
-54.0453,-0.0456
-54.1455,-0.0462
-54.2461,-0.0467
-54.3466,-0.0473
-54.4467,-0.048
-54.5475,-0.0486
-54.6483,-0.0492
-54.749,-0.0495
-54.8493,-0.0501
-54.9493,-0.0506
-55.0502,-0.0512
-55.1507,-0.0517
-55.2507,-0.0523
-55.3507,-0.0527
-55.4515,-0.0533
-55.552,-0.054
-55.6524,-0.0545
-55.7527,-0.0551
-55.8532,-0.0556
-55.9537,-0.0562
-56.0544,-0.0567
-56.155,-0.0573
-56.2552,-0.0579
-56.3561,-0.0585
-56.4562,-0.059
-56.5567,-0.0595
-56.6574,-0.0601
-56.7576,-0.0607
-56.8585,-0.0612
-56.9588,-0.0618
-57.0594,-0.0623
-57.1598,-0.0627
-57.2601,-0.0632
-57.3602,-0.0637
-57.4603,-0.0643
-57.5604,-0.0649
-57.6611,-0.0655
-57.7616,-0.066
-57.8622,-0.0664
-57.9626,-0.067
-58.0634,-0.0676
-58.1637,-0.0681
-58.2645,-0.0687
-58.3646,-0.0692
-58.4655,-0.0699
-58.5665,-0.0704
-58.6675,-0.0709
-58.768,-0.0715
-58.8683,-0.072
-58.9686,-0.0725
-59.0695,-0.073
-59.1696,-0.0734
-59.2706,-0.074
-59.3713,-0.0746
-59.4715,-0.075
-59.5722,-0.075
-59.6726,-0.0758
-59.7732,-0.0763
-59.8741,-0.0769
-59.9748,-0.0775
-60.0749,-0.0782
-60.175,-0.0788
-60.2755,-0.0793
-60.3758,-0.0798
-60.4768,-0.0804
-60.5775,-0.0809
-60.6775,-0.0813
-60.7782,-0.0818
-60.8791,-0.0824
-60.9793,-0.083
-61.0798,-0.0834
-61.1804,-0.0838
-61.2806,-0.0843
-61.381,-0.0847
-61.4812,-0.0853
-61.5821,-0.0858
-61.6821,-0.0864
-61.7829,-0.0869
-61.8833,-0.0875
-61.9835,-0.088
-62.0842,-0.0882
-62.1844,-0.0888
-62.2848,-0.0894
-62.3852,-0.09
-62.4857,-0.0905
-62.5862,-0.0909
-62.687,-0.0914
-62.7876,-0.092
-62.8883,-0.0925
-62.989,-0.0931
-63.0893,-0.0936
-63.1901,-0.0941
-63.2901,-0.0946
-63.3906,-0.0951
-63.4909,-0.0955
-63.5915,-0.0959
-63.6917,-0.0964
-63.7924,-0.097
-63.8929,-0.0974
-63.9933,-0.0978
-64.0933,-0.0982
-64.1943,-0.0987
-64.2947,-0.0993
-64.3955,-0.0998
-64.4958,-0.1003
-64.5962,-0.1007
-64.6964,-0.1012
-64.7971,-0.1018
-64.8972,-0.1022
-64.998,-0.1026
-65.0079,-0.1024
-45.201,0.0033
-45.3015,0.0033
-45.4022,0.0033
-45.5026,0.0033
-45.6026,0.0033
-45.7031,0.0024
-45.8032,0.0009
-45.9038,0.0001
-46.0043,-0.0008
-46.1045,-0.0015
-46.2049,-0.0021
-46.3051,-0.0026
-46.4054,-0.0031
-46.5057,-0.0037
-46.6066,-0.0043
-46.7069,-0.005
-46.8075,-0.0056
-46.9082,-0.0062
-47.0093,-0.0068
-47.1094,-0.0074
-47.2097,-0.0079
-47.3105,-0.0084
-47.4108,-0.0089
-47.5109,-0.0094
-47.6112,-0.0099
-47.7122,-0.0104
-47.8126,-0.0109
-47.9129,-0.0114
-48.0133,-0.012
-48.1139,-0.0125
-48.2145,-0.013
-48.315,-0.0136
-48.4154,-0.0142
-48.5161,-0.0148
-48.6165,-0.0154
-48.7174,-0.016
-48.8179,-0.0166
-48.9188,-0.0172
-49.0191,-0.0178
-49.12,-0.0184
-49.2201,-0.019
-49.3206,-0.0196
-49.4207,-0.0201
-49.5209,-0.0208
-49.621,-0.0213
-49.7219,-0.0219
-49.8226,-0.0224
-49.923,-0.0229
-50.024,-0.0234
-50.1246,-0.024
-50.2252,-0.0246
-50.3253,-0.0252
-50.426,-0.0257
