Rotation_0,Torque_0,Rotation_1,Torque_1,Rotation_2,Torque_2
0.0,3.000677801984994,0.0,2.5463083999031713,0.0,3.4942628903413278
0.0017271872060206925,3.002614379084972,0.0017271872060206925,2.462454611474222,0.0017271872060206925,3.381457274267736
0.0034543744120413963,3.0875332849189085,0.0034543744120413963,2.600435729847496,0.0034543744120413963,3.5644638102154484
0.005181561618062089,3.1804405712902493,0.005181561618062089,2.6840958605664547,0.005181561618062089,3.560881142580491
0.0069090624020068945,3.3293149358508836,0.0069090624020068945,2.8800774630840023,0.0069090624020068945,3.7983054950375275
0.008635936030103484,3.4240619704672004,0.008635936030103484,2.886468167513921,0.008635936030103484,3.9013313967562335
0.010363123236124178,3.5410312273057407,0.010363123236124178,3.0534979423868327,0.010363123236124178,3.983248608085211
0.012090624020068984,3.671362866134111,0.012090624020068984,3.2723795691115973,0.012090624020068984,4.171968046477856
0.013817497648165573,3.7888646816751415,0.013817497648165573,3.3498426531106276,0.013817497648165573,4.164415395787947
0.015544684854186266,3.876494795449045,0.015544684854186266,3.427257322682163,0.015544684854186266,4.282207697893978
0.017271558482282845,3.976615831517794,0.017271558482282845,3.51048172355362,0.017271558482282845,4.425804889857182
0.018999059266227664,4.116775599128544,0.018999059266227664,3.627112079399667,0.018999059266227664,4.554684095860569
0.020726246472248355,4.203582667634958,0.020726246472248355,3.7486322924231437,0.020726246472248355,4.708206245461149
0.022453120100344934,4.3233115468409595,0.022453120100344934,3.8834180585814613,0.022453120100344934,4.770031469377878
0.024180620884289752,4.423384168482214,0.024180620884289752,3.9451948680706894,0.024180620884289752,4.9232631324134655
0.025907808090310444,4.521229726458484,0.025907808090310444,4.01065117404987,0.025907808090310444,5.003098523359962
0.027634681718407023,4.660421205519249,0.027634681718407023,4.172403776325352,0.027634681718407023,5.123795691115956
0.02936218250235184,4.767707576857906,0.02936218250235184,4.299394819656262,0.02936218250235184,5.150568869523122
0.031089369708372533,4.888259501331404,0.031089369708372533,4.335754054708304,0.031089369708372533,5.3801016702977495
0.03281624333646911,4.994625998547568,0.03281624333646911,4.512079399661105,0.03281624333646911,5.513725490196085
0.034543744120413916,5.092471556523846,0.034543744120413916,4.594625998547568,0.034543744120413916,5.534107964173325
0.03627093132643462,5.188574195110142,0.03627093132643462,4.640522875816997,0.03627093132643462,5.713725490196084
0.0379978049545312,5.2926652142338435,0.0379978049545312,4.8037763253449555,0.0379978049545312,5.852093923989353
0.039725305738476005,5.430549503752122,0.039725305738476005,4.96368917937546,0.039725305738476005,5.92369886226096
0.04145249294449671,5.5426289034132195,0.04145249294449671,4.982716049382721,0.04145249294449671,6.013362381989837
0.043179680150517416,5.674993948196569,0.043179680150517416,5.077656741709035,0.043179680150517416,6.224691358024693
0.044906867356538094,5.745001210360693,0.044906867356538094,5.2716533526991105,0.044906867356538094,6.268845315904142
0.04663374098463467,5.873202614379087,0.04663374098463467,5.365190026627936,0.04663374098463467,6.409295570079884
0.048361241768579505,5.991382231905112,0.048361241768579505,5.4638102154442025,0.048361241768579505,6.547373517308159
0.05008842897460018,6.108206245461149,0.05008842897460018,5.581360445412734,0.05008842897460018,6.725732268215934
0.05181530260269676,6.214960058097315,0.05181530260269676,5.74742193173566,0.05181530260269676,6.713144517066086
0.053542803386641594,6.333430162188338,0.053542803386641594,5.88976034858388,0.053542803386641594,6.808811425804895
0.05526999059266227,6.4562091503268,0.05526999059266227,5.941031227305741,0.05526999059266227,6.9659162430404304
0.05699686422075885,6.5561849431130526,0.05699686422075885,6.0910675381263655,0.05699686422075885,7.093488259501333
0.05872436500470368,6.63723069474704,0.05872436500470368,6.105059307673687,0.05872436500470368,7.16083272815299
0.06045155221072436,6.7583635923505225,0.06045155221072436,6.221496005809737,0.06045155221072436,7.316533526991046
0.06217842583882094,6.885935608811431,0.06217842583882094,6.4066327765674185,0.06217842583882094,7.53706124425079
0.06390592662276577,6.988380537400146,0.06390592662276577,6.413023480997344,0.06390592662276577,7.548680706850646
0.06563311382878645,7.069038973614139,0.06563311382878645,6.555313483418062,0.06563311382878645,7.630355846042125
0.06735998745688303,7.190365528927625,0.06735998745688303,6.716630355846048,0.06735998745688303,7.750665698378118
0.06908748824082783,7.313725490196084,0.06908748824082783,6.818639554587268,0.06908748824082783,7.8328733962720944
0.07081436186892444,7.431275720164609,0.07081436186892444,6.857129024449291,0.07081436186892444,8.036165577342052
0.07254154907494512,7.533042846768337,0.07254154907494512,7.098959089808767,0.07254154907494512,8.093923989348829
0.07426904985888992,7.648172355361902,0.07426904985888992,7.079157588961511,0.07426904985888992,8.1205519244735
0.07599592348698653,7.762866134107971,0.07599592348698653,7.150181554103128,0.07599592348698653,8.30689905591867
0.0777231106930072,7.866569837811671,0.0777231106930072,7.294311304768822,0.0777231106930072,8.4084241103849
0.07945061147695201,7.973033163882837,0.07945061147695201,7.418784797869771,0.07945061147695201,8.55603969983055
0.08117748510504862,8.061922052771733,0.08117748510504862,7.540159767610751,0.08117748510504862,8.626240619704678
0.08290498588899342,8.176325344952803,0.08290498588899342,7.595884773662553,0.08290498588899342,8.767804405712909
0.0846321730950141,8.302493343016224,0.0846321730950141,7.723747276688455,0.0846321730950141,8.878963931251514
0.0863590467231107,8.418106995884777,0.0863590467231107,7.775986443960302,0.0863590467231107,8.945775841200682
0.08808654750705551,8.495182764463813,0.08808654750705551,8.013023480997337,0.08808654750705551,8.978261922052774
0.08981373471307619,8.622028564512227,0.08981373471307619,8.06995884773663,0.08981373471307619,9.089082546598894
