Displacment_0,Force_0,Displacment_1,Force_1,Displacment_2,Force_2
0.0,0.05463636363636387,0.0,-0.0,0.0,0.103931818181819
0.036002446768226865,0.09796590909091049,0.036002446768226865,0.05879545454545559,0.036002446768226865,0.14493181818181872
0.07201945763304278,0.13170454545454613,0.07201945763304278,0.08280681818181858,0.07201945763304278,0.17854545454545506
0.10802190440127016,0.17226136363636385,0.10802190440127016,0.1353750000000014,0.10802190440127016,0.2210113636363641
0.1440389152660861,0.19581818181818245,0.1440389152660861,0.14563636363636495,0.1440389152660861,0.23832954545454593
0.18004136203431295,0.24197727272727318,0.18004136203431295,0.1921818181818192,0.18004136203431295,0.2795909090909099
0.21605837289912885,0.2763068181818181,0.21605837289912885,0.2286477272727277,0.21605837289912885,0.3090340909090921
0.2520608196673557,0.3077613636363646,0.2520608196673557,0.26572727272727353,0.2520608196673557,0.3517954545454558
0.2880778305321722,0.3465909090909104,0.2880778305321722,0.3106136363636367,0.2880778305321722,0.38555681818181947
0.3240948413969881,0.3753636363636368,0.3240948413969881,0.3310340909090909,0.3240948413969881,0.4296818181818196
0.3600972881652149,0.40988636363636355,0.3600972881652149,0.3473522727272734,0.3600972881652149,0.45667045454545563
0.3960997349334418,0.43121590909090973,0.3960997349334418,0.3763181818181833,0.3960997349334418,0.5136022727272728
0.4321167457982577,0.47078409090909223,0.4321167457982577,0.4197727272727276,0.4321167457982577,0.5221250000000003
0.46810462846989553,0.4909886363636366,0.46810462846989553,0.4454431818181832,0.46810462846989553,0.5666931818181824
0.504121639334712,0.5201363636363642,0.504121639334712,0.4825795454545459,0.504121639334712,0.575193181818182
0.5401240861029388,0.5440454545454558,0.5401240861029388,0.4959659090909098,0.5401240861029388,0.6005113636363646
0.5761410969677547,0.5710909090909103,0.5761410969677547,0.5401363636363644,0.5761410969677547,0.636090909090909
0.6121435437359816,0.5956704545454546,0.6121435437359816,0.5518750000000012,0.6121435437359816,0.6399204545454557
0.6481605546007976,0.6146477272727275,0.6481605546007976,0.5724090909090923,0.6481605546007976,0.6751022727272726
0.6841630013690249,0.6531931818181828,0.6841630013690249,0.6213863636363648,0.6841630013690249,0.7160340909090915
0.7201800122338409,0.6682272727272737,0.7201800122338409,0.6379659090909099,0.7201800122338409,0.7234431818181829
0.7561824590020677,0.6994886363636368,0.7561824590020677,0.6693636363636363,0.7561824590020677,0.7583068181818188
0.7921994698668836,0.7133295454545466,0.7921994698668836,0.6807727272727281,0.7921994698668836,0.7733068181818193
0.8282019166351104,0.7444659090909104,0.8282019166351104,0.721261363636365,0.8282019166351104,0.8020113636363648
0.8642189274999269,0.7643863636363641,0.8642189274999269,0.7172500000000006,0.8642189274999269,0.8338977272727277
0.9002213742681537,0.788193181818183,0.9002213742681537,0.7554090909090921,0.9002213742681537,0.848193181818182
0.9362383851329696,0.8169886363636374,0.9362383851329696,0.7809886363636374,0.9362383851329696,0.8753636363636375
0.9722408319011966,0.8335340909090921,0.9722408319011966,0.807511363636365,0.9722408319011966,0.8847954545454554
1.0082578427660125,0.8649431818181825,1.0082578427660125,0.8258636363636365,1.0082578427660125,0.9223522727272737
1.0442602895342399,0.8768295454545467,1.0442602895342399,0.8288636363636376,1.0442602895342399,0.9287613636363642
1.0802773003990558,0.9025000000000007,1.0802773003990558,0.8346818181818187,1.0802773003990558,0.9397386363636364
1.1162797471672827,0.921159090909091,1.1162797471672827,0.888602272727274,1.1162797471672827,0.964522727272728
1.1522967580320986,0.9613522727272732,1.1522967580320986,0.9296363636363641,1.1522967580320986,1.002386363636365
1.1882992048003254,0.989409090909091,1.1882992048003254,0.9526136363636375,1.1882992048003254,1.0420454545454547
1.224316215665142,1.0138522727272736,1.224316215665142,0.9805227272727279,1.224316215665142,1.0598977272727275
1.2603186624333687,1.0405795454545455,1.2603186624333687,0.9923295454545457,1.2603186624333687,1.1016590909090918
1.2963356732981846,1.0571022727272736,1.2963356732981846,1.0211022727272736,1.2963356732981846,1.102693181818183
1.3323381200664115,1.0835113636363645,1.3323381200664115,1.050761363636364,1.3323381200664115,1.1043863636363647
1.3683405668346384,1.1003068181818194,1.3683405668346384,1.0728409090909092,1.3683405668346384,1.132477272727273
1.4043430136028652,1.130534090909091,1.4043430136028652,1.1023636363636364,1.4043430136028652,1.1613181818181817
1.4403600244676817,1.14909090909091,1.4403600244676817,1.1101704545454554,1.4403600244676817,1.1933409090909095
1.4763624712359085,1.180818181818183,1.4763624712359085,1.149272727272728,1.4763624712359085,1.2195
1.5123794821007244,1.2013409090909102,1.5123794821007244,1.1667727272727275,1.5123794821007244,1.2592613636363643
1.5483819288689513,1.2170568181818193,1.5483819288689513,1.1498863636363637,1.5483819288689513,1.2550909090909101
1.5843989397337672,1.2484090909090912,1.5843989397337672,1.2157500000000014,1.5843989397337672,1.2958977272727281
1.6204013865019946,1.2641363636363645,1.6204013865019946,1.2308863636363638,1.6204013865019946,1.3042840909090923
1.6564183973668105,1.288204545454546,1.6564183973668105,1.2361136363636371,1.6564183973668105,1.326852272727274
1.6924208441350375,1.3107727272727276,1.6924208441350375,1.2832613636363648,1.6924208441350375,1.356988636363637
1.7284378549998534,1.3377727272727278,1.7284378549998534,1.3038977272727272,1.7284378549998534,1.390375000000001
1.76444030176808,1.358113636363637,1.76444030176808,1.3217045454545455,1.76444030176808,1.402943181818182
1.8004573126328967,1.380477272727273,1.8004573126328967,1.347897727272728,1.8004573126328967,1.4468522727272737
1.8364597594011234,1.4035227272727286,1.8364597594011234,1.372602272727273,1.8364597594011234,1.4467386363636368
