date and time,Trajectory,Waypoint,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,l0,l1,l2,l3,l4,l5,l6,l7,l8
01-Feb-2024 15:41:15,1,1,-0.0236843465516965,0.00245000969929,0.23903462489446,-0.0432448568443457,-0.00936492284138997,0.0155738616983096,0.998899173736572,0,0,0,0,0,0,0,0,0
01-Feb-2024 15:41:20,1,2,-0.0182080357025067,0.00523025244474411,0.239201664924622,-0.040488172819217,-0.0189790574212869,0.0150516303256154,0.998885651429494,-4.14433966990872,-0.0609470868714809,-0.0433178049191262,-4.13683415967002,-4.11920487771767,-0.0264439229285321,-6.03710178277344,-3.50210329541442,-1.40025903252879
01-Feb-2024 15:41:25,1,3,-0.00883527658879757,0.0134471017867327,0.242168367902438,-0.034479063997666,-0.0367026388645172,0.0130534292509158,0.998645889759064,-8.28867933981745,-0.121894173742962,-0.0866356098382525,-8.27366831934006,-8.23840975543535,-0.0528878458570643,-12.0742035655469,-7.00420659082886,-2.80051806505758
01-Feb-2024 15:41:30,1,4,-0.00208457483289142,0.0191689042995373,0.24632646838824,-0.0339224713544051,-0.0485932447016239,0.0104942813515663,0.998187053203583,-12.4330190097262,-0.182841260614443,-0.129953414757379,-12.4105024790101,-12.357614633153,-0.0793317687855964,-18.1113053483203,-10.5063098862433,-4.20077709758637
01-Feb-2024 15:41:34,1,5,0.000228691834005682,0.0183362023284038,0.250807815790176,-0.0341307828823725,-0.0579666703939438,0.0095415061339736,0.99768926302592,-16.5773586796349,-0.243788347485924,-0.173271219676505,-16.5473366386801,-16.4768195108707,-0.105775691714128,-24.1484071310938,-14.0084131816577,-5.60103613011515
01-Feb-2024 15:41:39,1,6,0.00361209626620015,0.0197659590591987,0.255913323163986,-0.0341578744351864,-0.066833137969176,0.00833080653101206,0.997144405047099,-20.7216983495436,-0.304735434357405,-0.216589024595631,-20.6841707983501,-20.5960243885884,-0.132219614642661,-30.1855089138672,-17.5105164770721,-7.00129516264394
01-Feb-2024 15:41:44,1,7,0.00646999534219503,0.0232263168940941,0.260915116469065,-0.0324453383684158,-0.077126973370711,0.00689268093556166,0.996469175815582,-24.8660380194523,-0.365682521228886,-0.259906829514757,-24.8210049580202,-24.715229266306,-0.158663537571193,-36.2226106966407,-21.0126197724866,-8.40155419517273
01-Feb-2024 15:41:49,1,8,0.00901497863233089,0.0258490071942409,0.265465279420217,-0.0323572285473347,-0.0859515930215518,0.00559881407146653,0.995757985115051,-29.0103776893611,-0.426629608100367,-0.303224634433884,-28.9578391176902,-28.8344341440237,-0.185107460499725,-42.2597124794141,-24.514723067901,-9.80181322770152
01-Feb-2024 15:41:54,1,9,0.0123342578609784,0.0273366333295902,0.27083439429601,-0.0328181438148022,-0.0956684708595276,0.00352196854849656,0.994865826765696,-33.1547173592698,-0.487576694971848,-0.34654243935301,-33.0946732773602,-32.9536390217414,-0.211551383428257,-48.2968142621875,-28.0168263633154,-11.2020722602303
01-Feb-2024 15:41:59,1,10,0.0145193230981628,0.0284644975016514,0.275839062531789,-0.0336761727929115,-0.103988719483217,0.00234880264227589,0.99400532245636,-37.2990570291785,-0.548523781843329,-0.389860244272136,-37.2315074370302,-37.0728438994591,-0.237995306356789,-54.333916044961,-31.5189296587298,-12.6023312927591
