date and time,Trajectory,Waypoint,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,l0,l1,l2,l3,l4,l5,l6,l7,l8
2/3/2024 14:24,1,23,-0.113048005,-0.140419461,0.314515291,-0.122210517,0.126502073,0.008000032,0.98437657,-64.8955793,-88.37371051,-43.55146497,-41.75759331,-5.677367454,-2.203222207,-27.45614016,-26.46478121,-12.5970794
2/3/2024 14:24,1,24,-0.121893706,-0.155192629,0.319777681,-0.145187575,0.131260624,0.010462194,0.980602503,-66.70633594,-91.31226678,-45.04472866,-37.95247116,-8.925218638,-3.851133351,-25.80352317,-20.14105808,-9.459203385
2/3/2024 14:24,1,25,-0.12710598,-0.170235465,0.32457452,-0.166310781,0.131932308,0.013047879,0.977120419,-68.51709258,-94.25082305,-46.53799234,-34.14734902,-12.17306982,-5.499044495,-24.15090618,-13.81733494,-6.321327372
2/3/2024 14:24,1,26,-0.135374722,-0.181336041,0.330057814,-0.187613597,0.14193085,0.014562289,0.971825453,-70.32784922,-97.18937932,-48.03125603,-30.34222688,-15.42092101,-7.146955639,-22.49828919,-7.493611814,-3.183451358
2/3/2024 14:25,1,27,-0.143943648,-0.183561254,0.333657763,-0.192909545,0.151154456,0.01473638,0.969392141,-72.13860586,-100.1279356,-49.52451972,-26.53710474,-18.66877219,-8.794866782,-20.84567221,-1.169888683,-0.045575345
2/3/2024 14:25,1,28,-0.154706975,-0.185226708,0.338374084,-0.194350827,0.165034657,0.014013751,0.966847829,-73.9493625,-103.0664919,-51.01778341,-22.7319826,-21.91662337,-10.44277793,-19.19305522,5.153834447,3.092300668
2/3/2024 14:25,1,29,-0.159539724,-0.18243401,0.340351725,-0.189881738,0.173686667,0.0119337,0.966247888,-75.19060716,-104.799883,-51.87543303,-32.46411651,-23.66318561,-11.30701309,-20.06652403,5.244293989,3.146576393
2/3/2024 14:25,1,30,-0.16793321,-0.176597724,0.343373887,-0.17248941,0.190673226,0.002280108,0.966377306,-76.43185182,-106.5332742,-52.73308265,-42.19625043,-25.40974785,-12.17124826,-20.93999284,5.334753531,3.200852118
2/3/2024 14:25,1,31,-0.175436525,-0.16260538,0.344946464,-0.14196073,0.212372043,-0.010149963,0.966768138,-77.67309649,-108.2666653,-53.59073227,-51.92838434,-27.15631009,-13.03548342,-21.81346165,5.425213072,3.255127843
2/3/2024 14:25,1,32,-0.183086201,-0.144593594,0.346045349,-0.103156442,0.228612371,-0.023067521,0.967761266,-78.91434115,-110.0000565,-54.4483819,-61.66051826,-28.90287233,-13.89971859,-22.68693046,5.515672614,3.309403568
2/3/2024 14:25,1,33,-0.188495899,-0.128424222,0.347854678,-0.070954837,0.24321567,-0.033376465,0.96679635,-80.15558581,-111.7334476,-55.30603152,-71.39265217,-30.64943457,-14.76395376,-23.56039927,5.606132155,3.363679293
2/3/2024 14:25,1,34,-0.196897991,-0.10945949,0.351233369,-0.032580207,0.259079055,-0.046524006,0.964184324,-81.39683048,-113.4668388,-56.16368114,-81.12478609,-32.39599681,-15.62818892,-24.43386808,5.696591697,3.417955018
2/3/2024 14:25,1,35,-0.17542134,-0.123251999,0.349918042,-0.046242792,0.245226777,-0.048638872,0.967139375,-87.08238177,-112.8407031,-56.05701781,-77.65001245,-31.73903557,-15.50611283,-30.54264175,1.925258839,1.325884059
2/3/2024 14:25,1,36,-0.161063347,-0.132992186,0.349638887,-0.079511144,0.228562328,-0.037096077,0.969567112,-92.76793306,-112.2145673,-55.95035448,-74.17523882,-31.08207433,-15.38403674,-36.65141542,-1.84607402,-0.766186901
2/3/2024 14:25,1,37,-0.150146756,-0.145045273,0.351433953,-0.118928463,0.211384591,-0.025603647,0.969801271,-98.45348435,-111.5884316,-55.84369115,-70.70046518,-30.42511309,-15.26196065,-42.7601891,-5.617406878,-2.858257861
2/3/2024 14:25,1,38,-0.139283316,-0.152127881,0.352757037,-0.149040517,0.193911354,-0.017713612,0.969469198,-104.1390356,-110.9622959,-55.73702782,-67.22569155,-29.76815185,-15.13988456,-48.86896277,-9.388739736,-4.95032882
2/3/2024 14:25,1,39,-0.126798225,-0.164813763,0.355922385,-0.192147322,0.169676025,-0.005806803,0.966567059,-109.8245869,-110.3361602,-55.63036449,-63.75091791,-29.1111906,-15.01780847,-54.97773644,-13.16007259,-7.04239978
2/3/2024 14:26,1,40,-0.115219667,-0.172644145,0.359836553,-0.230216015,0.147507725,0.005080626,0.961881169,-115.5101382,-109.7100244,-55.52370116,-60.27614427,-28.45422936,-14.89573238,-61.08651011,-16.93140545,-9.13447074
2/3/2024 14:26,1,41,-0.103068218,-0.18221536,0.36532706,-0.271899631,0.127231339,0.014056671,0.953773932,-121.1956895,-109.0838887,-55.41703783,-56.80137064,-27.79726812,-14.77365629,-67.19528378,-20.70273831,-11.2265417
2/3/2024 14:26,1,42,-0.090700136,-0.189906661,0.371209351,-0.310581968,0.102305365,0.022298299,0.94476165,-126.8812408,-108.457753,-55.3103745,-53.326597,-27.14030688,-14.6515802,-73.30405745,-24.47407117,-13.31861266
2/3/2024 14:26,1,43,-0.078910026,-0.196821783,0.378291025,-0.348258603,0.078047378,0.029477885,0.933678178,-132.5667921,-107.8316173,-55.20371117,-49.85182337,-26.48334563,-14.52950411,-79.41283112,-28.24540403,-15.41068362
2/3/2024 14:26,1,44,-0.067067812,-0.204746251,0.386196506,-0.389767406,0.05281034,0.031871262,0.918843393,-138.2523434,-107.2054816,-55.09704784,-46.37704973,-25.82638439,-14.40742802,-85.52160479,-32.01673689,-17.50275458
2/3/2024 14:26,1,45,-0.051861562,-0.212628387,0.39590253,-0.424595139,0.022071074,0.035696714,0.904409345,-143.9378947,-106.5793458,-54.99038451,-42.9022761,-25.16942315,-14.28535192,-91.63037846,-35.78806974,-19.59482554
2/3/2024 14:26,1,46,-0.037427498,-0.218197635,0.405830455,-0.455975769,-0.00627151,0.038578552,0.88913279,-149.623446,-105.9532101,-54.88372118,-39.42750246,-24.51246191,-14.16327583,-97.73915213,-39.5594026,-21.6868965
2/3/2024 14:26,1,47,-0.024499999,-0.226679057,0.418105435,-0.491181274,-0.033295431,0.041430861,0.869433745,-155.3089973,-105.3270744,-54.77705785,-35.95272883,-23.85550066,-14.04119974,-103.8479258,-43.33073546,-23.77896746
2/3/2024 14:26,1,48,-0.014152307,-0.230261076,0.429583848,-0.521923415,-0.055301311,0.042218402,0.850148614,-160.9945486,-104.7009387,-54.67039452,-32.47795519,-23.19853942,-13.91912365,-109.9566995,-47.10206832,-25.87103842
2/3/2024 14:26,1,49,-0.014804169,-0.21670329,0.423742117,-0.50925653,-0.06051929,0.042992074,0.857405376,-155.1841237,-104.4926494,-54.5430893,-36.95985627,-22.96693372,-13.78016023,-108.9819425,-52.61979742,-28.6067424
2/3/2024 14:26,1,50,-0.016111388,-0.203317742,0.411453549,-0.474553196,-0.064552062,0.042301187,0.876835283,-149.3736988,-104.2843601,-54.41578407,-41.44175736,-22.73532802,-13.64119681,-108.0071856,-58.13752652,-31.34244638
2/3/2024 14:26,1,51,-0.017066634,-0.190051879,0.399073875,-0.433014315,-0.067634327,0.043888562,0.897772725,-143.5632739,-104.0760708,-54.28847885,-45.92365844,-22.50372232,-13.50223339,-107.0324287,-63.65525563,-34.07815036
2/3/2024 14:26,1,52,-0.014868792,-0.18169155,0.390939651,-0.400912096,-0.06964641,0.042291775,0.912484646,-137.752849,-103.8677815,-54.16117363,-50.40555952,-22.27211662,-13.36326997,-106.0576718,-69.17298473,-36.81385434
2/3/2024 14:27,1,53,-0.010322684,-0.171674213,0.381936797,-0.362996715,-0.067965109,0.037026762,0.928569591,-131.9424241,-103.6594922,-54.03386841,-54.8874606,-22.04051092,-13.22430655,-105.0829148,-74.69071383,-39.54955832
2/3/2024 14:27,1,54,-0.00458994,-0.163240494,0.373972571,-0.322773522,-0.061809225,0.027654664,0.944050606,-126.1319992,-103.4512029,-53.90656319,-59.36936169,-21.80890522,-13.08534313,-104.1081579,-80.20844293,-42.2852623
2/3/2024 14:27,1,55,0.002561482,-0.155298311,0.367195817,-0.282509653,-0.054713598,0.019417566,0.957504304,-120.3215744,-103.2429136,-53.77925797,-63.85126277,-21.57729952,-12.94637971,-103.133401,-85.72617204,-45.02096629
2/3/2024 14:27,1,56,0.013926974,-0.145785102,0.361838357,-0.241713148,-0.059187484,0.014260454,0.96843518,-114.5111495,-103.0346243,-53.65195275,-68.33316385,-21.34569382,-12.80741629,-102.1586441,-91.24390114,-47.75667027
2/3/2024 14:27,1,57,0.021618886,-0.134827655,0.356304906,-0.194557546,-0.050233205,0.009162796,0.979560292,-108.7007246,-102.8263349,-53.52464752,-72.81506494,-21.11408812,-12.66845287,-101.1838871,-96.76163024,-50.49237425
2/3/2024 14:27,1,58,0.032353833,-0.122355826,0.352636896,-0.149932149,-0.054160298,0.009304202,0.987166508,-102.8902997,-102.6180456,-53.3973423,-77.29696602,-20.88248242,-12.52948945,-100.2091302,-102.2793593,-53.22807823
