date and time,Repeat num,Test num,p_idx,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg
02-Feb-2024 18:52:11,1,1,1,-0.0331739721198877,0.179969638586044,0.343167171875636,-0.84253066778183,0.297479164600372,0.2334078758955,0.383620850245158
02-Feb-2024 18:52:16,1,2,2,-0.0710047170519829,0.207705410321554,0.374826725323995,-0.790788320700328,0.283259093761444,0.329827652374903,0.430845697720846
02-Feb-2024 18:52:22,1,3,3,-0.0427817113697529,0.213369899988174,0.387363771597544,-0.774922994772593,0.281510766347249,0.276205706596375,0.493918122847875
02-Feb-2024 18:52:27,1,4,4,-0.00818121166278919,0.216035716732343,0.394479082028071,-0.774046770731608,0.278481731812159,0.20071836511294,0.531985739866892
02-Feb-2024 18:52:33,1,5,5,-0.0285561079780261,0.213108030954997,0.387845786412557,-0.77322465578715,0.299986658493678,0.221543632944425,0.512883659203847
02-Feb-2024 18:52:39,1,6,6,-0.0938038170337677,0.205501846472422,0.354096110661825,-0.832351863384247,0.340045434236527,0.267576454083125,0.346352207660675
02-Feb-2024 18:52:45,1,7,7,-0.112247616052628,0.207262506087621,0.356578916311264,-0.832861316204071,0.326492242018382,0.311713111400604,0.320280647277832
02-Feb-2024 18:52:50,1,8,8,-0.128235202034314,0.23072006603082,0.377220338582993,-0.811658843358358,0.322001004219055,0.345735245943069,0.343498482306798
02-Feb-2024 18:52:57,1,9,9,-0.0715343554814657,0.230515187978745,0.374486108620961,-0.81434764067332,0.334756801525752,0.24842832783858,0.403801256418228
02-Feb-2024 18:53:02,1,10,10,-0.0974884157379468,0.248506130774816,0.387422784169515,-0.806617152690887,0.346520199378332,0.27272784113884,0.39358838001887
02-Feb-2024 18:53:08,1,11,11,-0.0756463915109634,0.24289630651474,0.411569633086522,-0.749952749411265,0.313191233078639,0.306124957402547,0.49574742714564
02-Feb-2024 18:53:13,1,12,12,-0.0913693721095721,0.216717875997225,0.376867097616196,-0.797907670338949,0.321917184193929,0.300608915090561,0.411514222621918
02-Feb-2024 18:53:19,1,13,13,-0.0890233804782232,0.225499040881793,0.398331379890442,-0.756882464885712,0.303519401947657,0.338236916065216,0.469676228364309
02-Feb-2024 18:53:25,1,14,14,-0.10285410930713,0.193929491440455,0.357139178117116,-0.812152699629466,0.309559657176336,0.327994336684545,0.370130119721095
02-Feb-2024 18:53:31,1,15,15,-0.130679301420848,0.154400087396304,0.352958561976751,-0.812684293588003,0.313481428225835,0.376161011060079,0.315873475869497
02-Feb-2024 18:53:36,1,16,16,-0.128456858793894,0.160858472188314,0.370605981349945,-0.793046367168426,0.318134790658951,0.378651577234268,0.355655060211817
02-Feb-2024 18:53:43,1,17,17,-0.0936131591598193,0.115170875688394,0.336491000652313,-0.865631357828776,0.321907339493434,0.275997889041901,0.266237457593282
02-Feb-2024 18:53:49,1,18,18,-0.0188275350878636,0.122391506036123,0.327359507481257,-0.889658649762472,0.326509133974711,0.119001725812753,0.296203394730886
02-Feb-2024 18:53:54,1,19,19,-0.0117951688046257,0.143389013409615,0.335749836762746,-0.881725684801738,0.346912841002146,0.0577959736188253,0.31443673769633
02-Feb-2024 18:54:01,1,20,20,-0.0912773142258326,0.146094671885173,0.327954576412837,-0.881292752424876,0.365559766689936,0.163839128613472,0.25068838596344
02-Feb-2024 18:54:07,1,21,21,-0.0639313081900279,0.221616903940837,0.360026063521703,-0.849224996566772,0.359622053305308,0.161082548896472,0.351483754316966
02-Feb-2024 18:54:13,1,22,22,-0.0582292268673579,0.197357868154844,0.372537432114283,-0.81551392475764,0.330240257581075,0.217560341954231,0.422544546922048
02-Feb-2024 18:54:19,1,23,23,-0.089253090818723,0.222878674666087,0.41446301539739,-0.756625227133433,0.30246471563975,0.321610244115194,0.482282257080078
02-Feb-2024 18:54:24,1,24,24,-0.0858431100845337,0.18856707016627,0.409566662708918,-0.777012495199839,0.301668840646744,0.317187734444936,0.452369527022044
02-Feb-2024 18:54:31,1,25,25,-0.157038374741872,0.165945728619893,0.432620334625244,-0.758802799383799,0.349009829759598,0.401885378360748,0.375362986326218
02-Feb-2024 18:54:39,1,26,26,-0.129665518800418,0.045502108335495,0.358337674538294,-0.876207061608632,0.356347866853078,0.273178752263387,0.175063606103261
02-Feb-2024 18:54:47,1,27,27,-0.211383592089017,0.0497935575743516,0.366033379236857,-0.8698055823644,0.354257170359294,0.339386973778407,0.0525029028455416
02-Feb-2024 18:54:52,1,28,28,-0.212478485703468,0.040694671869278,0.37220679918925,-0.845712180932363,0.361444977919261,0.388366971413294,0.0574300934871038
02-Feb-2024 18:54:58,1,29,29,-0.17272822757562,0.0675353541970253,0.337325557072957,-0.888534061113993,0.33778254588445,0.302068454027176,0.07186302592357
02-Feb-2024 18:55:04,1,30,30,-0.176963879664739,-0.0149169201031327,0.328141578038534,-0.890803070863088,0.347699222962062,0.287527692317963,-0.0538604574898879
02-Feb-2024 18:55:09,1,31,31,-0.174127557873726,-0.00824705790728331,0.331261823574702,-0.8737158258756,0.321484164396922,0.348592182000478,-0.108403086662292
02-Feb-2024 18:55:15,1,32,32,-0.179866384466489,0.0301941848049561,0.337746638059616,-0.86636164188385,0.301759568850199,0.390454119443893,-0.0768372625112534
02-Feb-2024 18:55:22,1,33,33,-0.149571453531583,0.07636655519406,0.321940074364344,-0.875227006276449,0.342641081412633,0.32904581228892,0.091112811366717
02-Feb-2024 18:55:28,1,34,34,-0.13661173582077,0.0386438849071662,0.300668466091156,-0.906725005308787,0.35887798666954,0.217771051327387,0.0403779131670793
02-Feb-2024 18:55:33,1,35,35,-0.15881829559803,0.00929053431997697,0.313841358820597,-0.888302683830261,0.373728404442469,0.266245869795481,0.018927738815546
02-Feb-2024 18:55:40,1,36,36,-0.191685022910436,0.0382589355111122,0.331942522525787,-0.896554557482402,0.354250119129817,0.265778869390488,-0.00758953525995215
02-Feb-2024 18:55:46,1,37,37,-0.16109147866567,0.0068914210734268,0.311427013079325,-0.921915658315023,0.340588750441869,0.166692837079366,-0.0792701035737991
02-Feb-2024 18:55:52,1,38,38,-0.138537188371023,-0.0380107618868351,0.303824230035146,-0.913642688592275,0.314889780680339,0.136523124575615,-0.217854636907578
