Rotation,Torque
18.5759,0.0102
18.6763,0.0103
18.7766,0.0104
18.8767,0.0104
18.9772,0.0098
19.0773,0.0101
19.1777,0.0102
19.2781,0.0104
19.3781,0.0105
19.4782,0.0106
19.5785,0.0108
19.6788,0.0108
19.779,0.0109
19.8794,0.011
19.9796,0.0111
20.0025,0.011
0.2232,-0.0007
0.3238,-0.0007
0.4238,-0.0007
0.5242,-0.0007
0.6242,-0.0007
0.7244,-0.0007
0.8247,-0.0007
0.9249,-0.0004
1.025,0.0001
1.1251,0.0005
1.2254,0.0009
1.3258,0.0011
1.4258,0.0013
1.5261,0.0015
1.6263,0.0016
1.7266,0.0017
1.8266,0.0018
1.9269,0.0019
2.0272,0.002
2.1275,0.002
2.2279,0.0021
2.328,0.0022
2.4284,0.0022
2.5287,0.0023
2.6289,0.0023
2.7292,0.0024
2.8293,0.0024
2.9297,0.0024
3.0301,0.0024
3.1305,0.0025
3.2309,0.0026
3.331,0.0026
3.4315,0.0027
3.5318,0.0027
3.6322,0.0028
3.7323,0.0028
3.8326,0.0028
3.9326,0.0028
4.0329,0.0029
4.1331,0.0029
4.2332,0.003
4.3333,0.003
4.4337,0.0031
4.5337,0.0031
4.6342,0.0031
4.7343,0.0031
4.8344,0.0032
4.9348,0.0032
5.035,0.0033
5.1352,0.0033
5.2357,0.0034
5.3357,0.0035
5.4359,0.0035
5.536,0.0035
5.636,0.0035
5.7364,0.0036
5.8366,0.0037
5.9366,0.0037
6.037,0.0038
6.1374,0.0038
6.2377,0.0038
6.3381,0.0039
6.4381,0.0039
6.5384,0.004
6.6387,0.004
6.7389,0.0041
6.8389,0.0041
6.9394,0.0042
7.0398,0.0042
7.1402,0.0042
7.2407,0.0043
7.3408,0.0043
7.4412,0.0044
7.5415,0.0044
7.6417,0.0044
7.7422,0.0045
7.8424,0.0045
7.9424,0.0046
8.0426,0.0046
8.1427,0.0047
8.2431,0.0047
8.3434,0.0047
8.4438,0.0047
8.5439,0.0047
8.644,0.0048
8.7445,0.0048
8.8447,0.0049
