Rotation,Torque
12.8379,0.0088
12.9383,0.0091
13.0385,0.0094
13.1386,0.0096
13.2388,0.0096
13.3389,0.0098
13.439,0.0098
13.5395,0.0099
13.6395,0.0102
13.74,0.0102
13.84,0.0104
13.9404,0.0106
14.0407,0.0097
14.141,0.0101
14.2413,0.0104
14.3415,0.0106
14.4415,0.0107
14.5419,0.0108
14.6421,0.011
14.7425,0.0099
14.8427,0.0104
14.9432,0.0107
15.0432,0.011
15.1435,0.0112
15.2437,0.0112
15.3438,0.0113
15.4442,0.0116
15.5445,0.0116
15.6449,0.0114
15.7451,0.0115
15.8452,0.0118
15.9455,0.0118
16.0457,0.012
16.1459,0.0122
16.2463,0.0112
16.3467,0.0116
16.4467,0.012
16.5467,0.0122
16.6472,0.0124
16.7475,0.0124
16.8478,0.0126
16.9481,0.0128
17.0483,0.0129
17.1484,0.0123
17.2485,0.0126
17.3485,0.0129
17.4486,0.0131
17.549,0.0132
17.6491,0.0133
17.7495,0.0135
17.8499,0.0132
17.9503,0.0134
18.0503,0.0137
18.1506,0.0138
18.2511,0.0139
18.3514,0.014
18.4518,0.0142
18.5522,0.0144
18.6522,0.0146
18.7527,0.0147
18.8529,0.0143
18.953,0.0145
19.0532,0.0149
19.1533,0.0152
19.2533,0.0152
19.3535,0.0154
19.454,0.0153
19.5544,0.0155
19.6547,0.0157
19.7551,0.0156
19.8554,0.0159
19.9557,0.016
20.0025,0.0161
0.2081,0.0054
0.3082,0.0057
0.4083,0.0058
0.5087,0.0051
0.6088,0.0054
0.7091,0.0057
0.8093,0.0058
0.9097,0.0058
1.0099,0.0059
1.11,0.0056
1.2105,0.0059
1.3106,0.0061
1.4107,0.0062
1.5108,0.0061
1.611,0.0061
1.7111,0.0059
1.8113,0.0062
1.9116,0.0058
2.0117,0.0055
2.1121,0.0058
2.2123,0.0061
2.3124,0.0062
2.4128,0.0063
2.5132,0.0061
2.6134,0.0063
2.7137,0.0064
2.8141,0.0065
2.9144,0.0065
3.0147,0.0066
3.1149,0.0059
3.2151,0.0062
3.3155,0.0064
3.4156,0.0065
3.5157,0.0059
3.6157,0.0062
3.7162,0.0064
3.8166,0.0066
3.9168,0.0067
4.0171,0.0063
4.1174,0.0066
4.2177,0.0067
4.3181,0.0058
4.4183,0.0062
4.5186,0.0065
4.6187,0.0067
4.7188,0.006
4.819,0.0064
4.9192,0.0067
5.0195,0.0068
5.1198,0.0066
