0,0.3515625,0,0.3515625
0.0001,0.703125,0.0001,0.703125
0.0002,0.3515625,0.0002,0.3515625
0.0003,0.703125,0.0003,0.703125
0.0004,0.3515625,0.0004,0.3515625
0.0005,0.3515625,0.0005,0.703125
0.0006,0.3515625,0.0006,0.3515625
0.0007,0.703125,0.0007,0.703125
0.0008,0.3515625,0.0008,0.3515625
0.0009,0.703125,0.0009,0.703125
0.001,0.3515625,0.001,1.0546875
0.0011,0.703125,0.0011,0.703125
0.0012,1.0546875,0.0012,1.0546875
0.0013,0.703125,0.0013,1.40625
0.0014,1.0546875,0.0014,1.0546875
0.0015,1.40625,0.0015,1.40625
0.0016,1.0546875,0.0016,1.0546875
0.0017,1.40625,0.0017,1.40625
0.0018,1.0546875,0.0018,1.7578125
0.0019,1.40625,0.0019,2.109375
0.002,1.7578125,0.002,2.4609375
0.0021,1.40625,0.0021,2.109375
0.0022,1.7578125,0.0022,2.4609375
0.0023,2.109375,0.0023,2.8125
0.0024,1.7578125,0.0024,2.4609375
0.0025,2.109375,0.0025,2.8125
0.0026,2.4609375,0.0026,3.1640625
0.0027,2.109375,0.0027,2.8125
0.0028,2.4609375,0.0028,3.1640625
0.0029,2.8125,0.0029,3.515625
0.003,2.4609375,0.003,3.1640625
0.0031,2.8125,0.0031,3.515625
0.0032,3.1640625,0.0032,3.8671875
0.0033,3.515625,0.0033,4.21875
0.0034,3.1640625,0.0034,4.5703125
0.0035,3.515625,0.0035,4.21875
0.0036,3.8671875,0.0036,4.5703125
0.0037,4.21875,0.0037,4.921875
0.0038,3.8671875,0.0038,4.5703125
0.0039,4.21875,0.0039,4.921875
0.004,4.5703125,0.004,5.2734375
0.0041,4.921875,0.0041,4.921875
0.0042,4.5703125,0.0042,5.2734375
0.0043,4.921875,0.0043,4.921875
0.0044,5.2734375,0.0044,5.2734375
0.0045,5.625,0.0045,5.625
0.0046,5.2734375,0.0046,5.2734375
0.0047,5.625,0.0047,5.625
0.0048,5.9765625,0.0048,5.9765625
0.0049,6.328125,0.0049,5.625
0.005,5.9765625,0.005,5.9765625
0.0051,6.328125,0.0051,6.328125
0.0052,6.6796875,0.0052,6.6796875
0.0053,6.328125,0.0053,7.03125
0.0054,6.6796875,0.0054,6.6796875
0.0055,7.03125,0.0055,7.03125
0.0056,6.6796875,0.0056,7.3828125
0.0057,7.03125,0.0057,7.734375
0.0058,7.3828125,0.0058,8.0859375
0.0059,7.03125,0.0059,7.734375
0.006,7.3828125,0.006,8.0859375
0.0061,7.734375,0.0061,8.4375
0.0062,7.3828125,0.0062,8.0859375
0.0063,7.734375,0.0063,8.4375
0.0064,8.0859375,0.0064,8.7890625
0.0065,7.734375,0.0065,9.140625
0.0066,8.0859375,0.0066,8.7890625
0.0067,8.4375,0.0067,9.140625
0.0068,8.0859375,0.0068,9.4921875
0.0069,7.734375,0.0069,9.140625
0.007,8.0859375,0.007,9.4921875
0.0071,7.734375,0.0071,9.84375
0.0072,7.3828125,0.0072,10.1953125
0.0073,7.734375,0.0073,10.546875
0.0074,8.0859375,0.0074,10.8984375
0.0075,7.734375,0.0075,10.546875
0.0076,8.0859375,0.0076,10.8984375
0.0077,8.4375,0.0077,11.25
0.0078,8.0859375,0.0078,10.8984375
0.0079,8.4375,0.0079,11.25
0.008,8.7890625,0.008,10.8984375
0.0081,8.4375,0.0081,11.25
0.0082,8.0859375,0.0082,11.6015625
0.0083,8.4375,0.0083,11.953125
0.0084,8.7890625,0.0084,12.3046875
0.0085,8.4375,0.0085,11.953125
0.0086,8.7890625,0.0086,12.3046875
0.0087,9.140625,0.0087,11.953125
0.0088,8.7890625,0.0088,12.3046875
0.0089,8.4375,0.0089,11.953125
0.009,8.7890625,0.009,12.3046875
0.0091,9.140625,0.0091,12.65625
0.0092,8.7890625,0.0092,12.3046875
0.0093,8.4375,0.0093,12.65625
0.0094,8.7890625,0.0094,13.0078125
0.0095,9.140625,0.0095,12.65625
0.0096,9.4921875,0.0096,12.3046875
0.0097,9.140625,0.0097,12.65625
0.0098,8.7890625,0.0098,13.0078125
0.0099,9.140625,0.0099,12.65625
0.01,9.4921875,0.01,13.0078125
0.0101,9.84375,0.0101,13.359375
0.0102,10.1953125,0.0102,13.7109375
0.0103,9.84375,0.0103,13.359375
0.0104,9.4921875,0.0104,13.7109375
0.0105,9.84375,0.0105,14.0625
0.0106,10.1953125,0.0106,14.4140625
0.0107,10.546875,0.0107,14.0625
0.0108,10.8984375,0.0108,14.4140625
0.0109,10.546875,0.0109,14.765625
0.011,10.1953125,0.011,15.1171875
0.0111,10.546875,0.0111,14.765625
0.0112,10.8984375,0.0112,15.1171875
0.0113,11.25,0.0113,15.46875
0.0114,10.8984375,0.0114,15.1171875
0.0115,10.546875,0.0115,15.46875
0.0116,10.8984375,0.0116,15.8203125
0.0117,11.25,0.0117,16.171875
0.0118,10.8984375,0.0118,16.5234375
0.0119,10.546875,0.0119,16.875
0.012,10.8984375,0.012,16.5234375
0.0121,11.25,0.0121,16.875
0.0122,10.8984375,0.0122,17.2265625
0.0123,11.25,0.0123,16.875
0.0124,11.6015625,0.0124,17.2265625
0.0125,11.953125,0.0125,17.578125
0.0126,11.6015625,0.0126,17.2265625
0.0127,11.953125,0.0127,17.578125
0.0128,12.3046875,0.0128,17.9296875
0.0129,12.65625,0.0129,17.578125
0.013,12.3046875,0.013,17.9296875
0.0131,12.65625,0.0131,18.28125
0.0132,13.0078125,0.0132,18.6328125
0.0133,13.359375,0.0133,18.28125
0.0134,13.0078125,0.0134,18.6328125
