date and time,Trajectory,Waypoint,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,l0,l1,l2,l3,l4,l5,l6,l7,l8
03-Feb-2024 14:19:21,1,1,-0.0204425799349944,-0.00639036403348049,0.243726704518,-0.0075191875298818,0.0169789358973503,0.0065121332804362,0.99980510075887,0,0,0,0,0,0,0,0,0
03-Feb-2024 14:19:26,1,2,-0.0230029342075189,-0.0110894514247775,0.243896931409836,-0.00571588876967629,0.0208058514942726,0.00621200250461698,0.999747677644094,-2.8562571293645,-5.96907981105213,-2.73522410107613,-6.40647506449313,2.49327677413854,1.49596606448312,-3.20026289003278,-1.5574847861966,-0.529439768217193
03-Feb-2024 14:19:30,1,3,-0.0288008374472459,-0.0116731929282347,0.247635096311569,0.0041319598754247,0.017827429374059,0.00734921603774031,0.999802533785502,-5.712514258729,-11.9381596221042,-5.47044820215225,-12.8129501289863,4.98655354827707,2.99193212896624,-6.40052578006555,-3.1149695723932,-1.05887953643439
03-Feb-2024 14:19:35,1,4,-0.0353422137598197,-0.0123259889582793,0.251856664816539,0.0146155543625355,0.0227459964652856,0.00719166484971841,0.999608298142751,-8.5687713880935,-17.9072394331564,-8.20567230322837,-19.2194251934794,7.4798303224156,4.48789819344936,-9.60078867009833,-4.67245435858981,-1.58831930465158
03-Feb-2024 14:19:39,1,5,-0.0425670839846134,-0.0112179821978013,0.256131712595622,0.0269795053948959,0.0319358977178733,0.00580167310933272,0.999108521143595,-11.425028517458,-23.8763192442085,-10.9408964043045,-25.6259002579725,9.97310709655414,5.98386425793248,-12.8010515601311,-6.22993914478641,-2.11775907286877
03-Feb-2024 14:19:44,1,6,-0.0459687116245429,-0.0107968399301171,0.260802320639292,0.0390518270432949,0.0351974089940389,0.00441102556263407,0.998607285817464,-14.2812856468225,-29.8453990552606,-13.6761205053806,-32.0323753224656,12.4663838706927,7.4798303224156,-16.0013144501639,-7.78742393098301,-2.64719884108596
03-Feb-2024 14:19:48,1,7,-0.0522241579989592,-0.00920127294957638,0.265661458174388,0.0523528528710206,0.0392096015314261,0.00326422376868625,0.997852925459544,-17.137542776187,-35.8144788663127,-16.4113446064567,-38.4388503869588,14.9596606448312,8.97579638689872,-19.2015773401967,-9.34490871717961,-3.17663860930316
