date and time,Repeat num,Test num,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg
24-Jan-2024 17:07:44,1,1,-0.121456489463647,0.000787335414982711,0.301828217506409,-0.103453914324443,0.230938016374906,-0.227643219629924,0.940289036432902
24-Jan-2024 17:07:50,1,2,-0.108741147816181,-0.0423843709131082,0.297310403982798,-0.162628131111463,0.172448896368345,-0.228518604238828,0.944241861502329
24-Jan-2024 17:07:57,1,3,-0.0652959560354551,-0.0858970925211906,0.301666283607483,-0.2284815599521,0.0374915773669879,-0.216233949859937,0.948490019639333
24-Jan-2024 17:08:03,1,4,-0.075299363831679,-0.103257664541403,0.31267543832461,-0.303097647428513,0.0628551512956619,-0.215718064705531,0.926092211405436
24-Jan-2024 17:08:10,1,5,-0.0771331469217936,-0.126524956027667,0.32106711268425,-0.296919494867325,0.0293266353507837,-0.20702941318353,0.93172828356425
24-Jan-2024 17:08:17,1,6,-0.10103957504034,-0.102080426116784,0.33878346880277,-0.36754322052002,0.125403785705566,-0.210987458626429,0.897034108638763
24-Jan-2024 17:08:24,1,7,-0.124387872219086,-0.0706847101449966,0.328806004921595,-0.285418385267258,0.177977388103803,-0.217167068521182,0.916350849469503
24-Jan-2024 17:08:31,1,8,-0.154359858234723,-0.0300492828090986,0.338397588332494,-0.224415187040965,0.29381284515063,-0.22192599773407,0.90225301583608
24-Jan-2024 17:08:37,1,9,-0.192924291888873,-0.0336142448087533,0.354930188258489,-0.189819973707199,0.363340107599894,-0.241395090023677,0.879591198762258
24-Jan-2024 17:08:44,1,10,-0.164701862136523,-0.0265976211676995,0.34367450873057,-0.184545410672824,0.268133262793223,-0.227009635170301,0.917885529994965
24-Jan-2024 17:08:51,1,11,-0.139971310893695,-0.00433430379877488,0.345275030533473,-0.113521436353525,0.253815988699595,-0.234222642580668,0.931573915481567
24-Jan-2024 17:08:57,1,12,-0.15543271402518,0.00438551163921754,0.348643457889557,-0.089421168466409,0.309158126513163,-0.239557398358981,0.915989824136098
24-Jan-2024 17:09:04,1,13,-0.123894258836905,-0.0339333191514015,0.341112540165583,-0.133531537652016,0.236634447177251,-0.242977608243624,0.931200973192851
24-Jan-2024 17:09:10,1,14,-0.112418586015701,-0.023233725130558,0.339104098081589,-0.118506894012292,0.216488588849703,-0.238131775458654,0.939351944128672
24-Jan-2024 17:09:16,1,15,-0.117854148646196,-0.0447823765377204,0.33613293170929,-0.182276217142741,0.215948444604874,-0.234403768181801,0.930159413814545
24-Jan-2024 17:09:23,1,16,-0.0932042797406514,-0.0778272012869517,0.338814874490102,-0.219818456967672,0.119017901519934,-0.226096857587496,0.941485261917114
24-Jan-2024 17:09:29,1,17,-0.11238991767168,-0.0803062736988068,0.350037835041682,-0.224070809284846,0.140959532062213,-0.223895082871119,0.937972430388133
24-Jan-2024 17:09:35,1,18,-0.116528088351091,-0.135667691628138,0.368816020091375,-0.308595468600591,0.12683981359005,-0.223065650463104,0.915926976998647
24-Jan-2024 17:09:42,1,19,-0.0772983238101006,-0.0987577746311823,0.344581319888433,-0.249102560679118,0.0662082115809123,-0.219427934288979,0.940965350468953
24-Jan-2024 17:09:48,1,20,-0.076109125216802,-0.117333894471327,0.346610685189565,-0.289239424467087,0.0445504084229469,-0.212333177526792,0.932346737384796
24-Jan-2024 17:09:54,1,21,-0.0513837019602458,-0.118573592106501,0.34894831776619,-0.292007092634837,-0.0198787037283182,-0.20358967979749,0.934284655253092
24-Jan-2024 17:10:01,1,22,-0.0173397789398829,-0.147548577189446,0.359882650772731,-0.350214207172394,-0.100613526503245,-0.189825211962064,0.911698075135549
24-Jan-2024 17:10:08,1,23,0.028810170168678,-0.124975519875685,0.346588333447774,-0.308649198214213,-0.107355010012786,-0.22417388856411,0.91812672217687
24-Jan-2024 17:10:14,1,24,0.0474006066719691,-0.0965765590469043,0.341485059261322,-0.2789286673069,-0.116586943467458,-0.231500124931335,0.924669643243154
24-Jan-2024 17:10:20,1,25,0.0621066761513551,-0.0911177625258764,0.347611729303996,-0.271312999725342,-0.137803292274475,-0.231982803344727,0.923895760377248
24-Jan-2024 17:10:26,1,26,0.0670284713308016,-0.0493229600290457,0.335770138104757,-0.195601503054301,-0.160209645827611,-0.221622235576312,0.941783702373505
24-Jan-2024 17:10:33,1,27,0.0947638253370921,-0.0322356822590033,0.334228404362996,-0.179074266552925,-0.172040730714798,-0.234472879767418,0.939870699246724
24-Jan-2024 17:10:39,1,28,0.0407402897874514,-0.025313413888216,0.31920215288798,-0.187372043728828,-0.0744416082898776,-0.226804942886035,0.952842974662781
24-Jan-2024 17:10:46,1,29,0.0641974240541458,-0.00292035154998302,0.311966772874196,-0.113797850410144,-0.104185938338439,-0.221089023351669,0.962971981366475
24-Jan-2024 17:10:52,1,30,0.0645332137743632,0.0248671547820171,0.311688848336538,-0.0595502391457558,-0.0993147065242132,-0.216634061932564,0.969360645612081
24-Jan-2024 17:10:58,1,31,0.0705862710873286,0.0315027713775635,0.311222742001216,-0.0444365506370862,-0.107564902305603,-0.215216645598412,0.969606637954712
24-Jan-2024 17:11:04,1,32,0.0748559628923734,0.0570668595532576,0.311602512995402,0.0270193205525478,-0.105183945099513,-0.206264414389928,0.972451178232829
24-Jan-2024 17:11:10,1,33,0.0745872139930725,0.0408394443492095,0.311802095174789,-0.00512603602061669,-0.104654564956824,-0.208802959322929,0.972328396638234
