Time,Force,Rotation,Torque
(s),(mN),(deg),(N-mm)
7.4,651.5936,30.2216,28.6255
7.45,657.8562,30.1214,28.7841
7.5,663.1995,30.0215,28.9331
7.55,666.4639,29.9217,29.1423
7.6,673.8024,29.8213,29.2295
7.65,670.9787,29.7215,29.5034
7.7,672.8067,29.6207,29.6395
7.75,671.3399,29.5213,29.6313
7.8,670.9085,29.4214,29.8632
7.85,675.5715,29.3212,29.9826
7.9,683.5676,29.2214,30.2128
7.95,688.565,29.1216,30.2875
8,695.0889,29.0218,30.4488
8.05,693.9397,28.9215,30.6352
8.1,697.5175,28.8216,30.8084
8.15,708.1,28.7215,31.0126
8.2,711.633,28.6214,31.2475
8.25,719.3781,28.5215,31.39
8.3,724.4208,28.4218,31.5917
8.35,734.6596,28.3214,31.593
8.4,744.9872,28.2215,31.7638
8.45,748.8435,28.1218,31.9173
8.5,754.0901,28.0213,32.0997
8.55,757.4481,27.9216,32.3024
8.6,762.9327,27.8211,32.4363
8.65,771.9049,27.7213,32.7136
8.7,777.0111,27.6217,32.8791
8.75,789.9633,27.5213,32.8767
8.8,802.8457,27.4215,33.1137
8.85,806.4366,27.3215,33.3895
8.9,808.2189,27.2217,33.3967
8.95,809.1065,27.1216,33.5854
9,812.8665,27.0216,33.7772
9.05,815.6765,26.9217,33.9064
9.1,809.7448,26.8215,34.022
9.15,811.5906,26.7223,34.0719
9.2,814.1813,26.6215,34.3926
9.25,827.2832,26.5216,34.5022
9.3,827.7551,26.4214,34.6297
9.35,832.8411,26.3218,34.8987
9.4,838.4436,26.2216,34.9965
9.45,845.8494,26.1217,35.1241
9.5,855.3081,26.0211,35.311
9.55,865.3523,25.9216,35.5068
9.6,880.9839,25.8214,35.587
9.65,893.9615,25.7217,35.8183
9.7,898.1659,25.6218,35.9198
9.75,907.5637,25.5218,36.2184
9.8,914.4461,25.4217,36.2903
9.85,920.5129,25.3215,36.4328
9.9,931.9554,25.2218,36.6384
9.95,945.0324,25.1216,36.8544
9.983,949.4399,25.0556,36.9685
9.984,950.0744,25.0536,36.9692
27.327,38.9149,44.4762,3.6378
27.377,39.5532,44.4748,3.6161
27.427,38.2861,44.3972,3.8231
27.477,46.1038,44.2941,4.0481
27.527,45.8306,44.1943,4.175
27.577,46.0769,44.0944,4.3166
27.627,48.7219,43.9938,4.644
27.677,49.5682,43.8943,4.75
27.727,45.0469,43.7943,4.8957
27.777,49.0887,43.6942,5.0186
27.827,50.1495,43.5943,5.3449
27.877,58.5387,43.4942,5.5654
27.927,59.7593,43.3943,5.6444
27.977,56.6627,43.2942,5.9082
28.027,62.3215,43.1941,6.0296
28.077,60.502,43.0942,6.1885
28.127,57.8299,42.994,6.5446
28.177,58.0533,42.8943,6.6044
28.227,63.1388,42.7945,6.7373
28.277,67.8143,42.6941,6.991
28.327,74.2876,42.5941,7.1788
28.377,77.5704,42.4943,7.326
28.427,82.7617,42.3942,7.5881
28.477,79.9128,42.2942,7.7483
28.527,83.1117,42.1938,7.9036
28.577,87.0839,42.094,7.986
28.627,93.4132,41.9941,8.277
28.677,98.51,41.8942,8.367
28.727,105.0943,41.7942,8.4948
28.777,113.1,41.6944,8.769
28.827,109.6264,41.5945,8.9447
28.877,116.8436,41.4944,9.0958
28.927,121.6355,41.3944,9.2574
28.977,128.6432,41.2942,9.5242
29.027,135.5909,41.1944,9.6366
29.077,147.3172,41.0944,9.7399
29.127,151.9624,40.9945,9.9237
29.177,154.5526,40.8944,10.0538
29.227,158.8725,40.7944,10.1853
29.277,164.0359,40.6944,10.4021
29.327,165.5345,40.5944,10.5649
29.377,170.866,40.4945,10.6903
29.427,178.9694,40.3939,10.8162
29.477,183.8793,40.2943,11.1316
29.527,190.8874,40.1947,11.2206
29.577,189.3833,40.0944,11.4261
29.627,194.7639,39.9947,11.5201
29.677,199.5078,39.8943,11.6998
29.727,203.4827,39.7946,11.9425
29.777,210.4631,39.6946,12.1757
29.827,214.9691,39.5946,12.3126
29.877,221.6605,39.4943,12.3689
29.927,224.3627,39.3944,12.5862
29.977,227.6542,39.2949,12.7276
30.027,229.9432,39.1945,12.9011
30.077,228.5949,39.0945,13.0914
30.127,229.1744,38.9945,13.1633
30.177,232.9048,38.8946,13.4465
30.227,235.9475,38.7946,13.5585
30.277,243.6977,38.6945,13.813
30.327,246.3254,38.5941,13.9017
30.377,253.2312,38.4945,14.1589
30.427,253.3531,38.3947,14.2429
30.477,256.5795,38.2943,14.4403
30.527,257.5012,38.1944,14.6288
30.577,261.2785,38.0944,14.7984
30.627,270.8298,37.9946,14.9501
30.677,279.0998,37.8945,15.1961
30.727,284.1033,37.7946,15.1968
30.777,287.0378,37.6945,15.4537
30.827,285.9437,37.5944,15.6985
30.877,290.8098,37.4948,15.8296
30.927,293.657,37.3947,15.9667
30.977,295.2097,37.2945,16.1079
31.027,309.3542,37.1946,16.2766
31.077,316.3788,37.0946,16.4594
31.127,321.9994,36.9945,16.6861
31.177,319.4633,36.8946,16.7289
31.227,320.4761,36.7941,16.9218
31.277,319.8087,36.6945,17.0535
31.327,327.447,36.5947,17.2736
31.377,337.8122,36.4944,17.4886
31.427,342.8466,36.3945,17.6618
31.477,348.5719,36.2945,17.7802
31.527,355.0539,36.1947,17.9185
31.577,353.1626,36.0947,18.1751
31.627,356.5059,35.9947,18.2929
31.677,356.8,35.8947,18.5176
31.727,356.4853,35.7946,18.6414
31.777,358.4784,35.6948,18.8418
31.827,359.1883,35.5947,18.9639
31.877,364.1095,35.4945,19.0036
31.927,368.1344,35.3947,19.3362
31.977,366.5183,35.2946,19.3976
32.027,363.2973,35.1946,19.6367
32.077,373.6144,35.0946,19.7008
32.127,365.4656,34.9942,20.0317
32.177,374.2128,34.8946,20.121
32.227,382.7012,34.795,20.2581
32.277,389.7751,34.6945,20.5201
32.327,391.0204,34.5948,20.5578
32.377,399.6923,34.4948,20.9196
32.427,394.3684,34.3947,20.9686
32.477,398.7596,34.2949,21.2022
32.527,399.7249,34.1947,21.278
32.577,405.45,34.0948,21.4629
32.627,415.5834,33.9948,21.6071
32.677,417.6598,33.895,21.8887
32.727,417.9248,33.7948,21.9129
32.777,423.9001,33.6948,22.1023
32.827,420.9944,33.5949,22.1198
32.877,428.1687,33.4948,22.5272
32.927,434.0385,33.3948,22.6013
32.977,439.2661,33.2948,22.833
33.027,448.6147,33.1942,22.9775
33.077,456.3575,33.0948,23.1756
33.127,459.0477,32.995,23.3197
33.177,458.5598,32.8947,23.4198
33.227,461.5016,32.795,23.6173
33.277,470.1024,32.6947,23.7504
33.327,473.0062,32.5949,24.0775
33.377,481.9171,32.4949,24.2814
33.427,489.9274,32.3949,24.3311
33.477,501.2841,32.2947,24.5163
33.527,503.3724,32.1948,24.6011
