Time,Force,Rotation,Torque
(s),(mN),(deg),(N-mm)
6.7,1286.7819,13.3863,-15.5809
6.75,1303.9567,13.4861,-15.6606
6.8,1293.0712,13.5861,-15.8079
6.85,1293.6776,13.686,-15.8177
6.9,1299.5147,13.7864,-16.0662
6.95,1289.1276,13.8862,-16.1726
7,1300.272,13.9862,-16.1174
7.05,1294.8304,14.086,-16.3755
7.1,1289.6607,14.1863,-16.4431
7.15,1297.6248,14.2861,-16.6084
7.2,1288.7963,14.3858,-16.6301
7.25,1295.2079,14.4861,-16.7634
7.3,1297.9157,14.5857,-16.8721
7.35,1288.3035,14.6862,-16.9366
7.4,1299.0321,14.7861,-17.0698
7.45,1289.8115,14.8861,-17.2072
7.5,1290.095,14.9864,-17.3318
7.55,1294.9868,15.0862,-17.4514
7.6,1284.5552,15.186,-17.5733
7.65,1293.174,15.286,-17.5751
7.7,1293.4349,15.3861,-17.7967
7.75,1284.189,15.486,-17.7622
7.8,1295.6414,15.5861,-17.9636
7.85,1279.4166,15.686,-18.0606
7.9,1289.9989,15.786,-18.0905
7.95,1290.3372,15.886,-18.1908
8,1279.9752,15.986,-18.3705
8.05,1292.1686,16.0861,-18.4955
8.1,1284.4085,16.1854,-18.5592
8.15,1274.6036,16.286,-18.5836
8.2,1279.6863,16.386,-18.86
8.25,1270.8929,16.4861,-18.8719
8.3,1280.1279,16.5861,-19.1226
8.35,1272.608,16.686,-19.1202
8.4,1273.1915,16.7861,-19.179
8.45,1285.2321,16.8863,-19.3293
8.5,1270.1894,16.9861,-19.3938
8.55,1276.3357,17.086,-19.5093
8.6,1275.2781,17.1859,-19.7049
8.65,1269.0945,17.2859,-19.7192
8.7,1281.0192,17.386,-19.8647
8.75,1272.8338,17.4858,-19.8859
8.8,1272.9863,17.586,-20.0422
8.85,1288.7385,17.6861,-20.1888
8.9,1267.1182,17.7858,-20.4201
8.95,1275.9243,17.8859,-20.4335
9,1274.5917,17.9856,-20.4998
9.05,1269.6244,18.0856,-20.6335
9.1,1280.8485,18.1857,-20.7254
9.15,1270.7493,18.2859,-20.8713
9.2,1268.7629,18.3858,-20.9176
9.25,1281.1159,18.4859,-21.0203
9.3,1268.5132,18.5858,-21.1803
9.35,1271.6545,18.6862,-21.3127
9.4,1271.8043,18.7857,-21.4115
9.45,1263.8862,18.8859,-21.5837
9.5,1272.0181,18.9857,-21.583
9.55,1265.0785,19.0856,-21.6489
9.6,1266.6807,19.1858,-21.9436
9.65,1272.0519,19.2856,-21.9527
9.7,1260.0646,19.3856,-22.0616
9.75,1277.8065,19.4858,-22.2555
9.8,1270.9787,19.5857,-22.3949
9.85,1269.5287,19.6856,-22.3945
9.9,1279.5098,19.7852,-22.5867
9.95,1268.0321,19.8855,-22.7983
10,1269.3776,19.9854,-22.7801
10.05,1273.9978,20.0858,-22.8295
10.1,1265.5603,20.1855,-22.9015
10.15,1276.2096,20.2855,-23.1441
10.2,1266.2212,20.3855,-23.3101
10.25,1267.7796,20.4858,-23.298
10.3,1274.9511,20.5855,-23.3856
10.35,1259.8524,20.6855,-23.489
10.4,1272.3137,20.7854,-23.7474
10.45,1265.2794,20.8855,-23.6653
10.5,1263.5654,20.9856,-23.9581
10.55,1272.3488,21.0854,-24.0047
10.6,1260.8838,21.1854,-24.1216
10.65,1263.1211,21.2856,-24.268
10.7,1265.2526,21.3855,-24.3784
10.75,1252.9665,21.4854,-24.4304
10.8,1272.305,21.5851,-24.5028
