Time,Force,Rotation,Torque
(s),(mN),(deg),(N-mm)
7.05,389.1954,14.0866,-14.498
7.1,382.8208,14.1866,-14.4318
7.15,379.739,14.2865,-14.5717
7.2,382.8981,14.386,-14.684
7.25,384.6301,14.4865,-14.569
7.3,389.2179,14.5862,-14.6855
7.35,384.7193,14.6865,-14.666
7.4,387.9236,14.7865,-14.8452
7.45,387.499,14.8865,-14.9077
7.5,384.379,14.987,-14.9372
7.55,381.6395,15.0866,-14.9267
7.6,391.4542,15.1865,-15.0399
7.65,390.539,15.2865,-14.9871
7.7,387.5434,15.3865,-15.0509
7.75,385.2176,15.4865,-15.1594
7.8,387.2876,15.5867,-15.0787
7.85,385.1616,15.6865,-15.1974
7.9,393.9982,15.7864,-15.1295
7.95,394.7889,15.8865,-15.2046
8,392.4336,15.9864,-15.248
8.05,386.4804,16.0864,-15.2191
8.1,388.0207,16.1857,-15.2647
8.15,392.0622,16.2865,-15.2789
8.2,394.9601,16.3864,-15.4365
8.25,403.4193,16.4865,-15.4474
8.3,405.7864,16.5865,-15.3991
8.35,404.3338,16.6864,-15.5304
8.4,399.8468,16.7868,-15.5912
8.45,403.246,16.8866,-15.5962
8.5,408.9964,16.9863,-15.6093
8.55,407.3386,17.0863,-15.8272
8.6,410.9133,17.1865,-15.6742
8.65,408.9727,17.2865,-15.7367
8.7,407.7598,17.3865,-15.7665
8.75,414.428,17.4864,-15.8731
8.8,414.3394,17.5864,-15.9197
8.85,412.2808,17.6864,-15.9756
8.9,416.6991,17.7864,-16.0091
8.95,413.3886,17.8864,-16.0023
9,416.3207,17.9859,-16.0984
9.05,408.4949,18.0864,-16.0923
9.1,411.959,18.1863,-16.1903
9.15,414.794,18.2863,-16.2642
9.2,419.6804,18.3864,-16.267
9.25,419.307,18.4865,-16.2803
9.3,419.3965,18.5863,-16.373
9.35,416.1827,18.6868,-16.3126
9.4,419.0547,18.7864,-16.3172
9.45,419.7458,18.8863,-16.4344
9.5,423.3484,18.9863,-16.4576
9.55,424.5946,19.0861,-16.3271
9.6,421.9879,19.1864,-16.4684
9.65,416.3556,19.2863,-16.4536
9.7,422.0297,19.3862,-16.5905
9.75,420.9819,19.4863,-16.5402
9.8,419.3272,19.5864,-16.525
9.85,423.3458,19.6863,-16.4384
9.9,423.5408,19.7858,-16.6262
9.95,415.9385,19.8864,-16.666
10,421.312,19.9862,-16.6758
10.05,416.7964,20.0862,-16.8299
10.1,424.2692,20.1861,-16.7282
10.15,424.7397,20.2862,-16.8968
10.2,422.7447,20.3864,-16.8185
10.25,424.9812,20.4867,-16.8321
10.3,424.1944,20.5863,-16.9289
10.35,427.3101,20.6863,-16.8278
10.4,429.4507,20.7861,-16.9857
10.45,425.9485,20.8861,-17.0059
10.5,426.5104,20.9863,-17.0083
10.55,423.3747,21.0862,-17.1462
10.6,426.1398,21.1862,-16.9547
10.65,424.6023,21.2862,-17.2375
10.7,425.6159,21.3864,-17.1761
10.75,429.3516,21.4863,-17.2793
10.8,426.6638,21.5858,-17.3552
10.85,423.2591,21.6861,-17.3549
10.9,423.4908,21.7858,-17.2679
10.95,428.2928,21.8863,-17.2523
11,425.2188,21.9861,-17.5143
11.05,428.2477,22.0861,-17.5177
11.1,423.8676,22.1864,-17.5566
11.15,421.3684,22.2864,-17.6303
11.2,423.8271,22.3861,-17.6432
11.25,423.9883,22.4862,-17.6403
11.3,424.0065,22.5861,-17.6897
11.35,428.3483,22.6859,-17.7081
11.4,426.3421,22.7863,-17.6993
11.45,426.4218,22.8861,-17.7908
11.5,426.6968,22.9861,-17.8844
11.55,423.0075,23.0859,-17.8406
11.6,424.92,23.1862,-17.7988
11.65,430.802,23.2861,-17.8539
11.7,431.2401,23.3855,-17.936
11.75,430.2409,23.4859,-17.9194
