date and time,p,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg
28-Feb-2024 18:01:35,1,-0.0211022478838762,0.0103954228262107,0.325914520025253,-0.00437380115812023,-0.0084338071445624,0.00702808005735278,0.999930047988892
28-Feb-2024 18:01:40,2,-0.0216388172159592,0.008751097569863,0.328024967511495,-0.00794841771324476,-0.00504907350987196,0.00723505852123102,0.999929189682007
28-Feb-2024 18:01:44,3,-0.024177323281765,0.0076023431494832,0.331153490146001,-0.0102279232194026,0.00176597262034193,0.00731757590547204,0.999918953577677
28-Feb-2024 18:01:48,4,-0.0263928224643071,0.00585332286233703,0.334160959720612,-0.00573471564178665,0.00608604547257225,0.00710569641863306,0.999939807256063
28-Feb-2024 18:01:52,5,-0.0291535781075557,0.0037551240529865,0.336933600902557,-0.00545342589418093,0.00757476119324565,0.00685173608362675,0.999932877222697
28-Feb-2024 18:01:57,6,-0.0323361277580261,0.00147174433028946,0.340227866172791,-0.00132856368630504,0.00914547244707743,0.00725798349206646,0.999930914243062
28-Feb-2024 18:02:01,7,-0.0350940321882566,-0.000233204182586633,0.343478341897329,0.00327650400189062,0.0083669055874149,0.00739534823223948,0.999932257334391
28-Feb-2024 18:02:05,8,-0.0383268398543199,-0.00371368119182686,0.346751715739568,0.00325939380563796,0.00634912792593241,0.00685862585281332,0.999951020876567
28-Feb-2024 18:02:10,9,-0.0408330537378788,-0.00640171884248654,0.349990799029668,0.0023871019637833,0.00401475996089478,0.00698200507710377,0.999964721997579
28-Feb-2024 18:02:14,10,-0.0425272385279338,-0.0101156993458668,0.353055640061696,-0.000274017588526476,0.00432581081986427,0.00704554263502359,0.999965802828471
28-Feb-2024 18:02:18,11,-0.0450111751755079,-0.0131123734017213,0.356155604124069,-0.00203437693417072,0.00315185555567344,0.00729772333676616,0.999966359138489
28-Feb-2024 18:02:22,12,-0.0476875282824039,-0.0154505961264173,0.3591665883859,-0.00245637598757943,0.00449747247621417,0.00748066253339251,0.999958880742391
28-Feb-2024 18:02:27,13,-0.0504147949318091,-0.019167227546374,0.362631918986638,-0.00210583845619112,0.00901463646441698,0.00721269569670161,0.999931144714356
28-Feb-2024 18:02:31,14,-0.0524071576694648,-0.021653172870477,0.365738926331202,-0.00273958239704371,0.0112163037061691,0.00688445217286547,0.999909559885661
28-Feb-2024 18:02:35,15,-0.0542682086428007,-0.0252462121347586,0.368800876537959,-0.00364909283816814,0.0108961593980591,0.00683538739879926,0.999910577138265
28-Feb-2024 18:02:39,16,-0.055592135588328,-0.0279925578584274,0.371863754590352,-0.00352847073227167,0.0104116727287571,0.00747473696246743,0.999911642074585
28-Feb-2024 18:02:44,17,-0.0573333603640397,-0.0300941528131564,0.374842355648677,-0.00200749033441146,0.015017250366509,0.00718731948484977,0.999859388669332
28-Feb-2024 18:02:48,18,-0.0594132455686728,-0.0304122470319271,0.37758903503418,-0.000282082037301734,0.0184809226542711,0.00744071900844574,0.999801464875539
28-Feb-2024 18:02:52,19,-0.0616791476806005,-0.0333522399266561,0.380598324537277,-0.00013474803427016,0.0174394557873408,0.00787657223020991,0.999816874663035
28-Feb-2024 18:02:56,20,-0.0643131936589877,-0.0332701762517293,0.383602408568064,0.00463493162145217,0.0225351588179668,0.0070771224796772,0.999710194269816
28-Feb-2024 18:03:01,21,-0.0660400773088137,-0.0354732406636079,0.38666419784228,0.0037551163850973,0.0237261767188708,0.0067835433408618,0.999688410758972
28-Feb-2024 18:03:05,22,-0.0692516113320986,-0.0391557817657789,0.389747073252996,-0.000455703558206248,0.0276112689326207,0.00722522381693125,0.999592498938243
28-Feb-2024 18:03:09,23,-0.0704705814520518,-0.0405174014468988,0.392537458737691,-0.00239908173680305,0.0256803184747696,0.00747355322043101,0.999639407793681
28-Feb-2024 18:03:13,24,-0.0734230081240336,-0.0417131582895915,0.395717243353526,-0.0034126800019294,0.026376719151934,0.00783097719152768,0.999615581830343
28-Feb-2024 18:03:18,25,-0.0770922134319941,-0.0455465632180373,0.398989440997442,-0.00774055812507868,0.0296069184939067,0.00818240934362014,0.999498160680135
28-Feb-2024 18:03:22,26,-0.0805362597107887,-0.0484590436021487,0.402276523907979,-0.0120549731577436,0.0333755272130171,0.00942125432193279,0.999325780073802
28-Feb-2024 18:03:26,27,-0.0840378955006599,-0.0505141047139962,0.405214142799377,-0.0111198384935657,0.0361314564943314,0.00894270874559879,0.999245178699493
28-Feb-2024 18:03:30,28,-0.0845378135641416,-0.054639109224081,0.408504684766134,-0.0144128704443574,0.0328569682935874,0.00908195705463489,0.999314634005229
28-Feb-2024 18:03:34,29,-0.0877852295835813,-0.0570749568442504,0.411303623517354,-0.0198354387034973,0.0361784026026726,0.0108969427645206,0.999088986714681
28-Feb-2024 18:03:39,30,-0.0895565614104271,-0.0593270900348822,0.414289605617523,-0.0189776136229436,0.0385224645336469,0.010018270338575,0.999027283986409
28-Feb-2024 18:03:43,31,-0.0892424340049426,-0.0600585296750069,0.415510839223862,-0.0183663288752238,0.0301179848611355,0.0106010997047027,0.999321381251017
28-Feb-2024 18:03:47,32,-0.0888444438576698,-0.06163150370121,0.415983963012695,-0.0219767104834318,0.0318307712674141,0.0103806765129169,0.99919771750768
28-Feb-2024 18:03:51,33,-0.086739689608415,-0.063048921028773,0.416556757688522,-0.0245433827241262,0.031036497031649,0.0101622762158513,0.999165185292562
28-Feb-2024 18:03:55,34,-0.0856395353873571,-0.0645079697171847,0.417177549997965,-0.0269917207459609,0.0284124678621689,0.0106846595803897,0.999174666404724
