Time,Displacement,Force,Rotation,Torque
2.62,1.6502,0.0002,2.4712,0.00068
2.64,1.6502,0.0002,2.4917,0.00067
2.66,1.6502,0.0002,2.5128,0.00068
2.68,1.6502,0.0002,2.5339,0.00068
2.7,1.6502,0.0002,2.554,0.00069
2.72,1.6502,0.0002,2.5731,0.00068
2.74,1.6502,0.0002,2.5913,0.00067
2.76,1.6502,0.0002,2.6089,0.00066
2.78,1.6502,0.0002,2.6263,0.00066
2.8,1.6502,0.0002,2.6439,0.00066
2.82,1.6502,0.0002,2.6625,0.00068
2.84,1.6502,0.0002,2.6817,0.0007
2.86,1.6502,0.0002,2.7011,0.0007
2.88,1.6502,0.0002,2.7216,0.00068
2.9,1.6502,0.0002,2.7436,0.0007
2.92,1.6502,0.0002,2.7663,0.0007
2.94,1.6502,0.0002,2.7889,0.0007
2.96,1.6502,0.0002,2.8112,0.00071
2.98,1.6502,0.0002,2.8328,0.0007
3,1.6502,0.0002,2.8538,0.00069
3.02,1.6502,0.0002,2.8746,0.00069
3.04,1.6502,0.0002,2.895,0.00069
3.06,1.6502,0.0002,2.916,0.0007
3.08,1.6502,0.0002,2.9369,0.00071
3.1,1.6502,0.0002,2.956,0.0007
3.12,1.6502,0.0002,2.9732,0.00069
3.14,1.6502,0.0002,2.99,0.0007
3.16,1.6502,0.0002,3.0074,0.0007
3.18,1.6502,0.0002,3.0254,0.0007
3.2,1.6502,0.0002,3.0442,0.00069
3.22,1.6502,0.0002,3.0632,0.00069
3.24,1.6502,0.0002,3.0826,0.00071
3.26,1.6502,0.0002,3.1029,0.00071
3.28,1.6502,0.0002,3.1244,0.00072
3.3,1.6502,0.0002,3.1463,0.0007
3.32,1.6502,0.0002,3.168,0.00071
3.34,1.6502,0.0002,3.1891,0.00071
3.36,1.6502,0.0002,3.2101,0.00072
3.38,1.6502,0.0002,3.2309,0.00073
3.4,1.6502,0.0002,3.2516,0.00072
3.42,1.6502,0.0002,3.2726,0.00073
3.44,1.6502,0.0002,3.2932,0.00073
3.46,1.6502,0.0002,3.3127,0.00074
3.48,1.6502,0.0002,3.3312,0.00074
3.5,1.6502,0.0002,3.3489,0.00072
3.52,1.6502,0.0002,3.3663,0.00073
3.54,1.6502,0.0002,3.384,0.00073
3.56,1.6502,0.0002,3.4023,0.00074
3.58,1.6502,0.0002,3.4212,0.00075
3.6,1.6502,0.0002,3.441,0.00075
3.62,1.6502,0.0002,3.4613,0.00074
3.64,1.6502,0.0002,3.4823,0.00073
3.66,1.6502,0.0002,3.5042,0.00075
3.68,1.6502,0.0002,3.5268,0.00075
3.7,1.6502,0.0002,3.5492,0.00075
3.72,1.6502,0.0002,3.5711,0.00075
3.74,1.6502,0.0002,3.5927,0.00074
3.76,1.6502,0.0002,3.6138,0.00074
3.78,1.6502,0.0002,3.6345,0.00075
3.8,1.6502,0.0002,3.655,0.00075
3.82,1.6502,0.0002,3.6754,0.00074
3.84,1.6502,0.0002,3.695,0.00075
3.86,1.6502,0.0002,3.7138,0.00074
3.88,1.6502,0.0002,3.7316,0.00072
3.9,1.6502,0.0002,3.7485,0.00073
3.92,1.6502,0.0002,3.7659,0.00073
3.94,1.6502,0.0002,3.7848,0.00074
3.96,1.6502,0.0002,3.8038,0.00075
3.98,1.6502,0.0002,3.8229,0.00075
4,1.6502,0.0002,3.8429,0.00076
4.02,1.6502,0.0002,3.8637,0.00075
4.04,1.6502,0.0002,3.8856,0.00076
4.06,1.6502,0.0002,3.9079,0.00076
4.08,1.6502,0.0002,3.9297,0.00076
4.1,1.6502,0.0002,3.9511,0.00075
4.12,1.6502,0.0002,3.972,0.00076
4.14,1.6502,0.0002,3.9927,0.00075
4.16,1.6502,0.0002,4.0134,0.00073
4.18,1.6502,0.0002,4.034,0.00073
4.2,1.6502,0.0002,4.0539,0.00073
4.22,1.6502,0.0002,4.0731,0.00074
4.24,1.6502,0.0002,4.0913,0.00076
4.26,1.6502,0.0002,4.1085,0.00077
4.28,1.6502,0.0002,4.1256,0.00076
4.3,1.6502,0.0002,4.1432,0.00076
4.32,1.6502,0.0002,4.1614,0.00077
4.34,1.6502,0.0002,4.1803,0.00077
4.36,1.6502,0.0002,4.2,0.00078
4.38,1.6502,0.0002,4.2207,0.00076
4.4,1.6502,0.0002,4.2426,0.00078
4.42,1.6502,0.0002,4.2652,0.00077
4.44,1.6502,0.0002,4.2876,0.00076
4.46,1.6502,0.0002,4.3096,0.00078
4.48,1.6502,0.0002,4.3312,0.00077
4.5,1.6502,0.0002,4.3521,0.00077
4.52,1.6502,0.0002,4.3728,0.00078
4.54,1.6502,0.0002,4.3934,0.00077
