Time,Displacement,Force,Rotation,Torque
0,0.0002,-0.0002,-0.0072,-0.00042
0.02,0.0002,-0.0002,-0.0072,-0.00041
0.04,0.0002,-0.0002,-0.0072,-0.0004
0.06,0.0002,-0.0002,-0.0072,-0.00039
0.08,0.0002,-0.0002,-0.0072,-0.00041
0.1,0.0002,-0.0002,-0.0072,-0.00042
0.12,0.0002,-0.0002,-0.0072,-0.00044
0.14,0.0002,-0.0002,-0.0072,-0.00044
0.16,0.0002,-0.0002,-0.0069,-0.00045
0.18,0.0002,-0.0002,-0.0046,-0.00043
0.2,0.0002,-0.0002,0.0089,-0.00041
0.22,0.0002,-0.0002,0.0359,-0.0004
0.24,0.0002,-0.0002,0.0613,-0.0004
0.26,0.0002,-0.0002,0.0837,-0.00039
0.28,0.0002,-0.0002,0.1062,-0.00039
0.3,0.0002,-0.0002,0.1298,-0.00041
0.32,0.0002,-0.0002,0.1541,-0.00041
0.34,0.0002,-0.0002,0.1781,-0.00043
0.36,0.0002,-0.0002,0.2015,-0.00043
0.38,0.0002,-0.0002,0.224,-0.00042
0.4,0.0002,-0.0002,0.246,-0.00041
0.42,0.0002,-0.0002,0.2679,-0.00041
0.44,0.0002,-0.0002,0.2895,-0.00042
0.46,0.0002,-0.0002,0.3103,-0.0004
0.48,0.0002,-0.0002,0.3299,-0.0004
0.5,0.0002,-0.0002,0.3483,-0.00041
0.52,0.0002,-0.0002,0.3661,-0.00043
0.54,0.0002,-0.0002,0.3839,-0.00043
0.56,0.0002,-0.0002,0.4022,-0.00045
0.58,0.0002,-0.0002,0.4212,-0.00044
0.6,0.0002,-0.0002,0.4407,-0.00042
0.62,0.0002,-0.0002,0.4609,-0.0004
0.64,0.0002,-0.0002,0.4822,-0.00041
0.66,0.0002,-0.0002,0.5043,-0.00042
0.68,0.0002,-0.0002,0.5264,-0.00041
0.7,0.0002,-0.0002,0.5477,-0.00042
0.72,0.0002,-0.0002,0.5686,-0.00041
0.74,0.0002,-0.0002,0.5879,-0.0004
0.76,0.0002,-0.0002,0.605,-0.00037
0.78,0.0002,-0.0002,0.6223,-0.00013
0.8,0.0002,-0.0002,0.6428,0.00026
0.82,0.0002,-0.0002,0.6646,0.00052
0.84,0.0002,-0.0002,0.6852,0.00054
0.86,0.0002,-0.0002,0.7043,0.00049
0.88,0.0002,-0.0002,0.7225,0.00045
0.9,0.0002,-0.0002,0.7405,0.00043
0.92,0.0002,-0.0002,0.7588,0.00043
0.94,0.0002,-0.0002,0.7778,0.00042
0.96,0.0002,-0.0002,0.7971,0.00042
0.98,0.0002,-0.0002,0.8169,0.0004
1,0.0002,-0.0002,0.8371,0.00038
1.02,0.0002,-0.0002,0.8582,0.00038
1.04,0.0002,-0.0002,0.8805,0.00038
1.06,0.0002,-0.0002,0.9034,0.00036
1.08,0.0002,-0.0002,0.9253,0.00034
1.1,0.0002,-0.0002,0.9469,0.00033
1.12,0.0002,-0.0002,0.9682,0.00032
1.14,0.0002,-0.0002,0.9895,0.0003
1.16,0.0002,-0.0002,1.0108,0.00033
1.18,0.0002,-0.0002,1.0318,0.00034
1.2,0.0002,-0.0002,1.0526,0.00032
1.22,0.0002,-0.0002,1.072,0.00033
1.24,0.0002,-0.0002,1.0904,0.00032
1.26,0.0002,-0.0002,1.1077,0.00031
1.28,0.0002,-0.0002,1.1251,0.00031
1.3,0.0002,-0.0002,1.1437,0.00031
1.32,0.0002,-0.0002,1.1627,0.00029
1.34,0.0002,-0.0002,1.1818,0.00029
1.36,0.0002,-0.0002,1.2023,0.00031
1.38,0.0002,-0.0002,1.224,0.00032
1.4,0.0002,-0.0002,1.2459,0.00031
1.42,0.0002,-0.0002,1.2681,0.00032
1.44,0.0002,-0.0002,1.2906,0.00032
1.46,0.0002,-0.0002,1.313,0.00032
1.48,0.0002,-0.0002,1.3347,0.00029
1.5,0.0002,-0.0002,1.3554,0.00028
1.52,0.0002,-0.0002,1.3759,0.00027
1.54,0.0002,-0.0002,1.3966,0.00028
1.56,0.0002,-0.0002,1.4172,0.00028
1.58,0.0002,-0.0002,1.4373,0.00028
1.6,0.0002,-0.0002,1.4562,0.00028
1.62,0.0002,-0.0002,1.4739,0.00029
1.64,0.0002,-0.0002,1.4912,0.00028
1.66,0.0002,-0.0002,1.5085,0.00026
1.68,0.0002,-0.0002,1.526,0.00027
1.7,0.0002,-0.0002,1.5445,0.00027
1.72,0.0002,-0.0002,1.564,0.00027
1.74,0.0002,-0.0002,1.5839,0.00027
1.76,0.0002,-0.0002,1.6045,0.00026
1.78,0.0002,-0.0002,1.6259,0.00028
1.8,0.0002,-0.0002,1.6479,0.00028
1.82,0.0002,-0.0002,1.6704,0.00027
1.84,0.0002,-0.0002,1.6925,0.00025
1.86,0.0002,-0.0002,1.7133,0.00025
1.88,0.0002,-0.0002,1.7334,0.00025
1.9,0.0002,-0.0002,1.7541,0.00026
1.92,0.0002,-0.0002,1.7756,0.00027
1.94,0.0002,-0.0002,1.7964,0.00026
1.96,0.0002,-0.0002,1.8158,0.00025
1.98,0.0002,-0.0002,1.8338,0.00025
2,0.0002,-0.0002,1.8509,0.00024
