Name,Material Type,Bend,Twist,Bend Moment (Nmm),Twist Moment (Nmm),Scale Factor
D98,Neoprene Rubber,0.000252376276696,0.000683576808887,2.12264150943e-09,2.12264150943e-08,1
D98,"Plastic, PET (amorphous)",0.0270728321524,0.11802142667,0.00205188679245,0.0205188679245,1
D98,"Aluminum alloy, wrought, 6061, T6",0.111659025417,0.214363446048,0.048820754717,0.48820754717,1
D98,"Carbon steel, 1095, hardened & tempered",0.254008812178,0.217796203076,0.15,1.5,1
