date and time,Repeat num,Test num,p_idx,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg
02-Feb-2024 20:47:47,3,53,76,-0.0274194369713465,-0.00460993216062586,0.238668425877889,-0.92574151357015,0.376261492570241,0.00900690443813801,-0.0367259569466114
02-Feb-2024 20:38:09,3,54,23,-0.0245912509659926,-0.000989270677867656,0.238238264123599,-0.925654391447703,0.376948567231496,0.00870389553407828,-0.0315851924320062
02-Feb-2024 20:35:05,3,55,6,-0.0243839324762424,0.00750851789489388,0.23859836657842,-0.928230194250743,0.371486427386602,0.0117721305539211,-0.015730095654726
02-Feb-2024 20:46:35,3,56,69,-0.0261188559234142,-0.00221130511878679,0.238221147656441,-0.925987756252289,0.376448476314545,0.00600372543558478,-0.0282345491151015
02-Feb-2024 20:45:45,3,57,64,-0.0233563013374805,0.00120845523197204,0.23803623020649,-0.926539405186971,0.375360516707102,0.00497694384927551,-0.024580009529988
02-Feb-2024 20:38:02,3,58,22,-0.0010650110974287,-0.000388710747211007,0.242090410987536,-0.925400988260905,0.378177950779597,-0.013118313315014,-0.0210272761682669
02-Feb-2024 20:34:58,3,59,5,0.0134932402521372,0.00540246063222488,0.242871624231339,-0.927716652552287,0.37245964606603,-0.024571047599117,-0.00338663725803296
02-Feb-2024 20:51:21,3,60,93,-0.00447247068708142,-0.000189759062292675,0.241640549898148,-0.926982772350311,0.374357293049494,-0.0160211101174355,-0.0174045970042547
02-Feb-2024 20:41:42,3,61,42,-0.0197517817219098,-0.0152290074154735,0.242155871788661,-0.92519623041153,0.376016952594121,0.000554732817302768,-0.051213052123785
02-Feb-2024 20:43:47,3,62,53,-0.0282246671617031,-0.010072624993821,0.238615372776985,-0.926346782843272,0.373460390170415,0.00833614397173127,-0.0483436492582162
02-Feb-2024 20:35:19,3,63,8,-0.0401712074875832,-0.0336454570293426,0.243208539485931,-0.922912021478017,0.368765532970428,0.0205583365013202,-0.108732304473718
02-Feb-2024 20:47:31,3,64,74,-0.0355817792316278,-0.0153208975990613,0.239660627643267,-0.925395234425863,0.375756132602692,0.0122257771591345,-0.047973857820034
02-Feb-2024 20:46:20,3,65,67,-0.0498184705773989,-0.0392608957986037,0.248178435365359,-0.922880546251933,0.376470383008321,0.0193545574943225,-0.0786573136846224
02-Feb-2024 20:40:31,3,66,35,-0.0484454703827699,-0.0359565861523151,0.243984983364741,-0.925691322485606,0.371871701876322,0.0124774015198151,-0.0681978682676951
02-Feb-2024 20:40:25,3,67,34,-0.0296791723618905,-0.0108972837527593,0.240450135866801,-0.92667404015859,0.373570970694224,0.00572869644189874,-0.041070864101251
02-Feb-2024 20:52:28,3,68,99,-0.0286915553112825,-0.0114950307955345,0.24067707558473,-0.925527469317118,0.3759627978007,0.0079633184398214,-0.044580340385437
02-Feb-2024 20:47:40,3,69,75,-0.0234361555427313,0.000926775704526032,0.238513352473577,-0.925903387864431,0.376432383060455,0.00796290232489506,-0.0306267867485682
02-Feb-2024 20:47:14,3,70,72,-0.0270118653774261,0.000706666540160465,0.238865818579992,-0.925879192352295,0.376243690649668,0.0103553439800938,-0.0328748146692912
02-Feb-2024 20:44:38,3,71,58,-0.0348575914899508,-0.014415536262095,0.241543099284172,-0.925088063875834,0.373541682958603,0.0201853518684705,-0.0653546353181203
02-Feb-2024 20:37:24,3,72,19,-0.0495503678917885,-0.0368928251167138,0.247232687473297,-0.917647818724314,0.373459070920944,0.0256613227228324,-0.133387253681819
02-Feb-2024 20:39:12,3,73,28,-0.0454817478855451,-0.0321014006932576,0.247376665472984,-0.922182063261668,0.370908961693446,0.0191447239369154,-0.107890024284522
02-Feb-2024 20:46:28,3,74,68,-0.0320224523544312,-0.0117242166151603,0.240029099583626,-0.924540066719055,0.376908163229624,0.0139331704005599,-0.0545134825011094
02-Feb-2024 20:34:14,3,75,1,-0.0249127653737863,-0.000620232447787809,0.238681582609812,-0.928362973531087,0.370141899585724,0.0118946358561516,-0.0315542640785376
02-Feb-2024 20:45:04,3,76,61,-0.0246678690115611,0.000642678019357845,0.238444058100382,-0.926853438218435,0.374065190553665,0.0113152362406254,-0.0298310956607262
02-Feb-2024 20:43:41,3,77,52,-0.0259114779531956,0.00226454026220987,0.237703928351402,-0.927041987578074,0.374115155140559,0.00588776922474305,-0.0244180055956046
02-Feb-2024 20:42:56,3,78,49,-0.0252263724803925,-0.000739210307559309,0.238584186633428,-0.926517927646637,0.37494974732399,0.00955670364201069,-0.0297598903377851
02-Feb-2024 20:52:39,3,79,100,-0.0260361245522896,-0.00475573828443885,0.239468155304591,-0.925729004542033,0.376347716649373,0.00751322746897737,-0.0364928243060907
02-Feb-2024 20:48:25,3,80,79,-0.0364458901186784,-0.0201736126095057,0.239246346553167,-0.925477914015452,0.374882592757543,0.0105670677497983,-0.0533094629645348
02-Feb-2024 20:47:24,3,81,73,-0.0324034427603086,-0.0130398507540425,0.23939094444116,-0.925498632589976,0.375749345620473,0.0108069254706303,-0.0463423937559128
02-Feb-2024 20:37:02,3,82,16,-0.0398946978151798,-0.0246503089865049,0.244072997570038,-0.924295071760813,0.376712004343669,0.0135309118777514,-0.0598629233737787
02-Feb-2024 20:45:37,3,83,63,-0.0355753573278586,-0.0157711514582237,0.241782262921333,-0.925870438416799,0.374649584293365,0.011833141806225,-0.047556662807862
02-Feb-2024 20:48:19,3,84,78,-0.0238179745773474,-0.00023644876164326,0.23805498679479,-0.925980643431346,0.37617501616478,0.00724080912768841,-0.0316114225735267
02-Feb-2024 20:34:50,3,85,4,-0.0251196357111136,-0.00477819476897518,0.238598718245824,-0.928327425320943,0.370725033680598,0.00605989353110393,-0.0271006040275097
02-Feb-2024 20:42:25,3,86,46,-0.027403407668074,-0.00795918749645352,0.239541253447533,-0.925979546705882,0.376371592283249,0.00262896546628326,-0.0299785636365414
02-Feb-2024 20:41:51,3,87,43,-0.0419397696852684,-0.0261867623776197,0.241079704960187,-0.925554041067759,0.374075082937876,0.0140211664140224,-0.0567489042878151
02-Feb-2024 20:35:30,3,88,9,-0.0384306885302067,0.016890279452006,0.240255169073741,-0.927692782878876,0.371385310093562,0.0330811341603597,-0.0190939854830503
02-Feb-2024 20:49:59,3,89,86,-0.0337584947546323,0.00539353101824721,0.24206810494264,-0.926402362187703,0.374962445100149,0.016565828025341,-0.0301205474883318
