Displacment_0,Force_0,Displacment_1,Force_1,Displacment_2,Force_2
0.0,0.06995384615384655,0.0,-0.0,0.0,0.16183076923076867
0.033183820902631646,0.07817692307692317,0.033183820902631646,0.011161538461538412,0.033183820902631646,0.17178461538461512
0.06636764180526357,0.08279230769230796,0.06636764180526357,0.020238461538461105,0.06636764180526357,0.19249230769230727
0.09954352399476063,0.09616153846153873,0.09954352399476063,0.031423076923077206,0.09954352399476063,0.20368461538461485
0.1327194061842577,0.10953076923076949,0.1327194061842577,0.04616153846153828,0.1327194061842577,0.22171538461538468
0.16591116580002394,0.11275384615384627,0.16591116580002394,0.044338461538462055,0.16591116580002394,0.23308461538461575
0.19908704798952098,0.12562307692307684,0.19908704798952098,0.0548846153846151,0.19908704798952098,0.2468461538461541
0.23226293017901806,0.13409230769230782,0.23226293017901806,0.06907692307692279,0.23226293017901806,0.22656923076923127
0.26545468979478454,0.14468461538461516,0.26545468979478454,0.08059230769230816,0.26545468979478454,0.2453230769230769
0.2986305719842816,0.15616923076923028,0.2986305719842816,0.09373076923076969,0.2986305719842816,0.2608
0.3318064541737787,0.15380769230769215,0.3318064541737787,0.08006923076923027,0.3318064541737787,0.2802846153846151
0.36498233636327576,0.16455384615384636,0.36498233636327576,0.08738461538461506,0.36498233636327576,0.294138461538462
0.39817409597904196,0.1654769230769233,0.39817409597904196,0.0952076923076926,0.39817409597904196,0.30333076923076874
0.4313499781685393,0.17840769230769218,0.4313499781685393,0.10753846153846125,0.4313499781685393,0.32293076923076897
0.4645258603580364,0.19383076923076953,0.4645258603580364,0.12188461538461581,0.4645258603580364,0.3391461538461541
0.4977176199738026,0.20026153846153796,0.4977176199738026,0.1255230769230768,0.4977176199738026,0.3534615384615384
0.5308935021632997,0.20670000000000008,0.5308935021632997,0.1341846153846153,0.5308935021632997,0.36135384615384575
0.5640693843527967,0.21643846153846133,0.5640693843527967,0.1467384615384617,0.5640693843527967,0.3426000000000001
0.5972532052554284,0.23129230769230757,0.5972532052554284,0.1588461538461537,0.5972532052554284,0.35984615384615365
0.6304370261580603,0.23673846153846184,0.6304370261580603,0.16960769230769193,0.6304370261580603,0.3760692307692313
0.6636129083475574,0.23913846153846172,0.6636129083475574,0.1793846153846149,0.6636129083475574,0.3909999999999999
0.6967887905370544,0.2471307692307691,0.6967887905370544,0.15876153846153876,0.6967887905370544,0.40818461538461515
0.7299805501528207,0.2513538461538463,0.7299805501528207,0.1750307692307696,0.7299805501528207,0.41866153846153836
0.7631564323423177,0.2646923076923079,0.7631564323423177,0.1832769230769228,0.7631564323423177,0.44096923076923117
0.7963323145318147,0.27640769230769224,0.7963323145318147,0.193838461538461,0.7963323145318147,0.45311538461538486
0.8295240741475813,0.2852615384615383,0.8295240741475813,0.20751538461538444,0.8295240741475813,0.4654307692307695
0.8626999563370783,0.29296923076923065,0.8626999563370783,0.2150076923076927,0.8626999563370783,0.4754
0.8958758385265754,0.3013692307692308,0.8958758385265754,0.2288307692307694,0.8958758385265754,0.4605307692307697
0.9290675981423416,0.3171538461538465,0.9290675981423416,0.24299230769230792,0.9290675981423416,0.47768461538461576
0.9622434803318387,0.32172307692307706,0.9622434803318387,0.2543384615384613,0.9622434803318387,0.49518461538461517
0.995419362521336,0.3250538461538464,0.995419362521336,0.26529230769230816,0.995419362521336,0.5045846153846156
1.0286031834239677,0.33464615384615337,1.0286031834239677,0.2463692307692305,1.0286031834239677,0.5221230769230768
1.0617870043265993,0.3415769230769231,1.0617870043265993,0.2575307692307689,1.0617870043265993,0.5408923076923076
1.0949628865160963,0.35360000000000014,1.0949628865160963,0.27076153846153794,1.0949628865160963,0.5534846153846157
1.1281387687055935,0.3665615384615382,1.1281387687055935,0.27867692307692293,1.1281387687055935,0.5700076923076923
1.16133052832136,0.3765538461538464,1.16133052832136,0.2875230769230764,1.16133052832136,0.5880384615384611
1.194506410510857,0.3825076923076923,1.194506410510857,0.3035384615384614,1.194506410510857,0.5701230769230764
1.2276822927003541,0.3948384615384621,1.2276822927003541,0.31340769230769183,1.2276822927003541,0.5777230769230772
1.2608661136029857,0.40672307692307735,1.2608661136029857,0.32970769230769187,1.2608661136029857,0.593323076923077
1.2940499345056173,0.4150230769230774,1.2940499345056173,0.3447769230769233,1.2940499345056173,0.6118846153846151
1.3272258166951147,0.41893076923076933,1.3272258166951147,0.3550076923076922,1.3272258166951147,0.623876923076923
1.3604096375977464,0.4269384615384619,1.3604096375977464,0.33695384615384577,1.3604096375977464,0.6423769230769227
1.393593458500378,0.4405153846153842,1.393593458500378,0.3480615384615384,1.393593458500378,0.6637230769230769
1.4267693406898747,0.450261538461538,1.4267693406898747,0.3631615384615379,1.4267693406898747,0.6738461538461543
1.459953161592507,0.4622461538461533,1.459953161592507,0.3696307692307692,1.459953161592507,0.6846076923076925
1.4931290437820037,0.474761538461538,1.4931290437820037,0.3832615384615384,1.4931290437820037,0.7086615384615381
1.5263128646846353,0.4823769230769229,1.5263128646846353,0.39928461538461485,1.5263128646846353,0.6935076923076928
1.5594966855872672,0.4964384615384614,1.5594966855872672,0.41555384615384566,1.5594966855872672,0.7037230769230766
1.5926725677767644,0.5080769230769234,1.5926725677767644,0.4278384615384611,1.5926725677767644,0.7248538461538466
1.625856388679396,0.5138153846153841,1.625856388679396,0.4411923076923079,1.625856388679396,0.7364153846153851
1.6590322708688934,0.5231769230769229,1.6590322708688934,0.4545153846153843,1.6590322708688934,0.755784615384615
1.692216091771525,0.5365615384615389,1.692216091771525,0.4639230769230774,1.692216091771525,0.7742923076923074
