dateAndTime,Trajectory,Waypoint,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,l0,l1,l2,l3,l4,l5,l6,l7,l8
16-Feb-2024 14:03:13,1,1,-0.0177484000722567,0.00185039436134199,0.253380280733109,0,0,0,1,-4.35,-5.47500000000001,-4.275,-4.42500000000001,-4.57500000000001,-6.75000000000001,-3.075,-4.72500000000001,-7.50000000000001
16-Feb-2024 14:03:20,1,2,-0.018521910905838,-0.0144697537645698,0.256679759422938,0.015426845991977,0.0213577019390438,-0.00192686296224647,0.99965101319898,-8.86632970325505,-10.6572018332192,-6.86175353035401,-4.36416761431685,-4.53154829594061,-6.72392897756437,-9.63218087031273,-4.81123921658478,-7.5387703647188
16-Feb-2024 14:03:47,1,3,-0.014652539913853,-0.018568391725421,0.261568089326223,0.0246284825122749,0.0384179113247005,-0.0035262693615966,0.99895198451326,-14.5076594065101,-14.7519036664385,-10.686007060708,-6.4408352286337,-9.47559659188121,-9.92285795512872,-16.7518617406255,-7.78497843316956,-10.4275407294376
16-Feb-2024 14:03:54,1,4,-0.0114992065976063,-0.0318845955034097,0.266036059459051,0.0359359558504405,0.0629584950669678,-0.00463473014010121,0.997358187539735,-19.0239891097652,-19.9341054996577,-13.272760591062,-6.38000284295055,-9.43214488782182,-9.89678693269309,-23.3090426109382,-7.87121764975433,-10.4663110941564
16-Feb-2024 14:04:20,1,5,-0.00296456978345911,-0.0396896628042062,0.270954122145971,0.0414730613886218,0.0955630695413498,-0.0039023792000832,0.99455138447215,-22.3778188130202,-24.8725573328769,-16.853264121416,-7.0879204572674,-11.4324431837624,-12.7582159102574,-30.8974734812509,-10.2262068663391,-11.7050814588751
16-Feb-2024 14:04:27,1,6,0.000743483290231476,-0.0538287363946438,0.276676487922668,0.0538823565623536,0.122246291780081,-0.0010684650725266,0.991035516104088,-26.8941485162753,-30.0547591660961,-19.4400176517701,-7.02708807158425,-11.388991479703,-12.7321448878218,-37.4546543515636,-10.3124460829239,-11.7438518235939
16-Feb-2024 14:04:57,1,7,0.0054819910787046,-0.0618807077407837,0.282084407409032,0.0677024053193295,0.143603557339311,0.00029394568908891,0.987316725387251,-31.5792282195303,-34.6650859993154,-23.1236461821241,-7.20063068590109,-13.0424147756436,-15.9498238653861,-43.2524602218764,-17.3080602995086,-12.9826221883127
16-Feb-2024 14:05:04,1,8,0.00920809532205264,-0.075717006623745,0.288991691668828,0.0764126722690782,0.169988782905363,0.00347763265273748,0.982472810450337,-36.0955579227853,-39.8472878325346,-25.7103997124781,-7.13979830021794,-12.9989630715842,-15.9237528429504,-49.8096410921891,-17.3942995160933,-13.0213925530315
16-Feb-2024 14:05:36,1,9,0.0155429683004816,-0.0853258430957794,0.296114236116409,0.086717728054483,0.198039587807835,0.00711067250626831,0.976324636398406,-40.6212626260404,-45.2685521657538,-29.7455907428321,-6.97115341453479,-15.7539488675247,-18.8695568205148,-56.4371344625018,-22.210226232678,-16.2101629177502
16-Feb-2024 14:05:42,1,10,-0.00126853003942718,-0.0780527457594871,0.295194047689438,0.101966382440339,0.163645459856834,0.0027146228033862,0.981231701048897,-45.2398735896999,-43.063593226116,-28.7118811898596,-10.5964377685497,-19.9916553935426,-21.0571800003701,-51.3402332931101,-22.7249498647143,-16.5362946506148
16-Feb-2024 14:06:11,1,11,-0.0121251275762916,-0.0741156359513601,0.293445521593094,0.118621367099864,0.130393796190904,3.39872763961987e-05,0.984340605698632,-48.6631720533594,-43.0781655364783,-27.9523903868871,-11.9928158725647,-21.3535806695605,-21.7307406802254,-48.6034883737184,-20.3545172467506,-16.7874263834793
16-Feb-2024 14:06:17,1,12,-0.0285228545467059,-0.069291245440642,0.29406599799792,0.133496215417351,0.101696427677956,-0.000645658740027602,0.98581751870799,-53.2817830170189,-40.8732065968405,-26.9186808339146,-15.6181002265796,-25.5912871955783,-23.9183638600807,-43.5065872043267,-20.8692408787869,-17.1135581163438
16-Feb-2024 14:06:45,1,13,-0.0412379585206509,-0.0617466335495313,0.293943687280019,0.155028379916108,0.0530402616222209,-0.00265283966347608,0.98648157332479,-58.2027377306784,-39.5530132822027,-26.1720806559421,-18.1289314555946,-27.1161030965962,-24.5989557899361,-39.889764159935,-19.6413863858232,-17.1771898492084
16-Feb-2024 14:06:52,1,14,-0.0547073602676392,-0.0563830316066742,0.296459118525187,0.16508075625668,0.0252302167731975,-0.000629818372169592,0.985957090042015,-62.8213486943379,-37.3480543425649,-25.1383711029696,-21.7542158096095,-31.3538096226141,-26.7865789697914,-34.7928629905433,-20.1561100178595,-17.5033215820729
16-Feb-2024 14:07:20,1,15,-0.0718155115842819,-0.0527730790277322,0.299906458457311,0.190654794553485,-0.0269718577972486,0.00241491183533278,0.981283565745173,-67.8161315329974,-37.6854782154271,-24.0982162374971,-24.8972736011244,-34.385070836132,-27.3956865246467,-30.2110008836516,-18.9745445873959,-18.1482033149375
16-Feb-2024 14:07:27,1,16,-0.0878359124064445,-0.0412023179233074,0.301773357391357,0.172684583887526,-0.0509303285319092,0.00699185429402608,0.983634713751378,-65.8089167801627,-42.0377813382434,-26.215377740128,-30.8353201822286,-40.0077756975128,-30.1480488965598,-27.0156426020132,-18.3846439996232,-17.7942629622739
16-Feb-2024 14:07:53,1,17,-0.104280498623848,-0.032556527107954,0.302837216854095,0.150932893800902,-0.0944237953170436,0.00880598229134843,0.983984686426926,-66.014787964828,-43.9862758673097,-28.4043165865088,-36.3072534820827,-45.3272579026436,-27.611153455973,-23.4778038516248,-16.3465988806006,-19.2496976096103
16-Feb-2024 14:08:00,1,18,-0.121202523509661,-0.0182324529935916,0.307203257083893,0.129330316155891,-0.123919180114033,0.0118297594737765,0.983756963336817,-64.0075732119933,-48.338578990126,-30.5214780891397,-42.2453000631868,-50.9499627640244,-30.3635158278862,-20.2824455699864,-15.756698292828,-18.8957572569467
16-Feb-2024 14:08:26,1,19,-0.140125980973244,-0.00341644895573457,0.309913154443105,0.09909289303996,-0.160605310047152,0.013744547204306,0.981935649803885,-62.8819014279087,-50.8889778160673,-32.8995282636456,-48.025290003666,-55.5960562972802,-35.4212492935493,-17.740847053973,-11.5927254394305,-18.6215044042832
16-Feb-2024 14:08:33,1,20,-0.157270666956902,0.00757524153838555,0.316435418526332,0.0758632886168843,-0.187954795908734,0.0140153739622969,0.979143158801528,-60.874686675074,-55.2412809388836,-35.0166897662765,-53.9633365847701,-61.2187611586611,-38.1736116654625,-14.5454887723346,-11.0028248516578,-18.2675640516196
16-Feb-2024 14:08:57,1,21,-0.171997486551603,0.02306751186649,0.320847696065903,0.032849959205054,-0.208631597190287,0.00768719929247058,0.977412217951614,-58.4082434066143,-58.0926319132625,-37.4142956048449,-59.7473548455618,-64.5531603559794,-40.5036595842506,-14.0770103735087,-9.82588813107276,-10.8284674489561
16-Feb-2024 14:09:04,1,22,-0.183609507481257,0.0359920459489028,0.327930829922358,0.0101513236841846,-0.231659363823139,0.005735920191221,0.972727088653378,-56.4010286537796,-62.4449350360787,-39.5314571074758,-65.6854014266659,-70.1758652173602,-43.2560219561638,-10.8816520918703,-9.23598754330015,-10.4745270962925
16-Feb-2024 14:09:31,1,23,-0.176749428113302,0.0528374572594961,0.331589231888453,-0.0300178826077093,-0.248339961440725,0.00289152977147401,0.968203402870982,-55.510265095835,-58.4528426533052,-39.0827884432896,-74.2782475440188,-72.386330836837,-43.9915912774778,-17.1466894041296,-6.96164269811837,-18.1484529040272
16-Feb-2024 14:09:38,1,24,-0.17220658659935,0.0721987520654996,0.33720848162969,-0.0641016570878597,-0.264162344014554,0.00346445933581486,0.962339457304353,-53.724115795703,-55.2862263447504,-37.7438976111346,-82.7981078215279,-73.790949288345,-44.9383178253542,-21.1482867749826,-9.40581591934281,-19.6149568367618
